Step,StepId,Array,Key,n,key,bound,low,mid,high,result
1,mainCall,"[5, 8, 10, 40, 45, 50, 90, 100, 110, 200, 220, 400]",110,12,110,,,,,
2,checkFirst,"[5, 8, 10, 40, 45, 50, 90, 100, 110, 200, 220, 400]",110,12,110,,,,,
3,setBound,"[5, 8, 10, 40, 45, 50, 90, 100, 110, 200, 220, 400]",110,12,110,1,,,,
4,whileExp,"[5, 8, 10, 40, 45, 50, 90, 100, 110, 200, 220, 400]",110,12,110,1,,,,
5,doubleBound,"[5, 8, 10, 40, 45, 50, 90, 100, 110, 200, 220, 400]",110,12,110,2,,,,
6,whileExp,"[5, 8, 10, 40, 45, 50, 90, 100, 110, 200, 220, 400]",110,12,110,2,,,,
7,doubleBound,"[5, 8, 10, 40, 45, 50, 90, 100, 110, 200, 220, 400]",110,12,110,4,,,,
8,whileExp,"[5, 8, 10, 40, 45, 50, 90, 100, 110, 200, 220, 400]",110,12,110,4,,,,
9,doubleBound,"[5, 8, 10, 40, 45, 50, 90, 100, 110, 200, 220, 400]",110,12,110,8,,,,
10,whileExp,"[5, 8, 10, 40, 45, 50, 90, 100, 110, 200, 220, 400]",110,12,110,8,,,,
11,setLow,"[5, 8, 10, 40, 45, 50, 90, 100, 110, 200, 220, 400]",110,12,110,8,4,,,
12,setHigh,"[5, 8, 10, 40, 45, 50, 90, 100, 110, 200, 220, 400]",110,12,110,8,4,,8,
13,whileLoop,"[5, 8, 10, 40, 45, 50, 90, 100, 110, 200, 220, 400]",110,12,110,8,4,,8,
14,setMid,"[5, 8, 10, 40, 45, 50, 90, 100, 110, 200, 220, 400]",110,12,110,8,4,6,8,
15,checkEqual,"[5, 8, 10, 40, 45, 50, 90, 100, 110, 200, 220, 400]",110,12,110,8,4,6,8,
16,checkLess,"[5, 8, 10, 40, 45, 50, 90, 100, 110, 200, 220, 400]",110,12,110,8,4,6,8,
17,updateLow,"[5, 8, 10, 40, 45, 50, 90, 100, 110, 200, 220, 400]",110,12,110,8,7,6,8,
18,whileLoop,"[5, 8, 10, 40, 45, 50, 90, 100, 110, 200, 220, 400]",110,12,110,8,7,6,8,
19,setMid,"[5, 8, 10, 40, 45, 50, 90, 100, 110, 200, 220, 400]",110,12,110,8,7,7,8,
20,checkEqual,"[5, 8, 10, 40, 45, 50, 90, 100, 110, 200, 220, 400]",110,12,110,8,7,7,8,
21,checkLess,"[5, 8, 10, 40, 45, 50, 90, 100, 110, 200, 220, 400]",110,12,110,8,7,7,8,
22,updateLow,"[5, 8, 10, 40, 45, 50, 90, 100, 110, 200, 220, 400]",110,12,110,8,8,7,8,
23,whileLoop,"[5, 8, 10, 40, 45, 50, 90, 100, 110, 200, 220, 400]",110,12,110,8,8,7,8,
24,setMid,"[5, 8, 10, 40, 45, 50, 90, 100, 110, 200, 220, 400]",110,12,110,8,8,8,8,
25,checkEqual,"[5, 8, 10, 40, 45, 50, 90, 100, 110, 200, 220, 400]",110,12,110,8,8,8,8,
26,returnFound,"[5, 8, 10, 40, 45, 50, 90, 100, 110, 200, 220, 400]",110,12,110,8,8,8,8,8
