Step,StepId,Array,Key,n,key,step_length,step,step_or_n,prev,result
1,mainCall,"[2, 5, 8, 10, 40, 42, 45, 80, 85, 90, 150, 160, 170, 300, 310, 500]",10,16,10,,,,,
2,setStepLength,"[2, 5, 8, 10, 40, 42, 45, 80, 85, 90, 150, 160, 170, 300, 310, 500]",10,16,10,4,,,,
3,setStep,"[2, 5, 8, 10, 40, 42, 45, 80, 85, 90, 150, 160, 170, 300, 310, 500]",10,16,10,4,4,,,
4,setPrev,"[2, 5, 8, 10, 40, 42, 45, 80, 85, 90, 150, 160, 170, 300, 310, 500]",10,16,10,4,4,,0,
5,setStepOrN,"[2, 5, 8, 10, 40, 42, 45, 80, 85, 90, 150, 160, 170, 300, 310, 500]",10,16,10,4,4,4,0,
6,whileJump,"[2, 5, 8, 10, 40, 42, 45, 80, 85, 90, 150, 160, 170, 300, 310, 500]",10,16,10,4,4,4,0,
7,whileLinear,"[2, 5, 8, 10, 40, 42, 45, 80, 85, 90, 150, 160, 170, 300, 310, 500]",10,16,10,4,4,4,0,
8,incPrev,"[2, 5, 8, 10, 40, 42, 45, 80, 85, 90, 150, 160, 170, 300, 310, 500]",10,16,10,4,4,4,1,
9,checkBound,"[2, 5, 8, 10, 40, 42, 45, 80, 85, 90, 150, 160, 170, 300, 310, 500]",10,16,10,4,4,4,1,
10,whileLinear,"[2, 5, 8, 10, 40, 42, 45, 80, 85, 90, 150, 160, 170, 300, 310, 500]",10,16,10,4,4,4,1,
11,incPrev,"[2, 5, 8, 10, 40, 42, 45, 80, 85, 90, 150, 160, 170, 300, 310, 500]",10,16,10,4,4,4,2,
12,checkBound,"[2, 5, 8, 10, 40, 42, 45, 80, 85, 90, 150, 160, 170, 300, 310, 500]",10,16,10,4,4,4,2,
13,whileLinear,"[2, 5, 8, 10, 40, 42, 45, 80, 85, 90, 150, 160, 170, 300, 310, 500]",10,16,10,4,4,4,2,
14,incPrev,"[2, 5, 8, 10, 40, 42, 45, 80, 85, 90, 150, 160, 170, 300, 310, 500]",10,16,10,4,4,4,3,
15,checkBound,"[2, 5, 8, 10, 40, 42, 45, 80, 85, 90, 150, 160, 170, 300, 310, 500]",10,16,10,4,4,4,3,
16,whileLinear,"[2, 5, 8, 10, 40, 42, 45, 80, 85, 90, 150, 160, 170, 300, 310, 500]",10,16,10,4,4,4,3,
17,checkEqual,"[2, 5, 8, 10, 40, 42, 45, 80, 85, 90, 150, 160, 170, 300, 310, 500]",10,16,10,4,4,4,3,
18,returnFound,"[2, 5, 8, 10, 40, 42, 45, 80, 85, 90, 150, 160, 170, 300, 310, 500]",10,16,10,4,4,4,3,3
