Step,StepId,Array,Key,n,key,i,result
1,mainCall,"[30, 100, 20, 110, 80, 50, 40, 10, 60, 70, 120, 90]",90,12,90,,
2,setI,"[30, 100, 20, 110, 80, 50, 40, 10, 60, 70, 120, 90]",90,12,90,0,
3,whileLoop,"[30, 100, 20, 110, 80, 50, 40, 10, 60, 70, 120, 90]",90,12,90,0,
4,checkEqual,"[30, 100, 20, 110, 80, 50, 40, 10, 60, 70, 120, 90]",90,12,90,0,
5,incI,"[30, 100, 20, 110, 80, 50, 40, 10, 60, 70, 120, 90]",90,12,90,1,
6,whileLoop,"[30, 100, 20, 110, 80, 50, 40, 10, 60, 70, 120, 90]",90,12,90,1,
7,checkEqual,"[30, 100, 20, 110, 80, 50, 40, 10, 60, 70, 120, 90]",90,12,90,1,
8,incI,"[30, 100, 20, 110, 80, 50, 40, 10, 60, 70, 120, 90]",90,12,90,2,
9,whileLoop,"[30, 100, 20, 110, 80, 50, 40, 10, 60, 70, 120, 90]",90,12,90,2,
10,checkEqual,"[30, 100, 20, 110, 80, 50, 40, 10, 60, 70, 120, 90]",90,12,90,2,
11,incI,"[30, 100, 20, 110, 80, 50, 40, 10, 60, 70, 120, 90]",90,12,90,3,
12,whileLoop,"[30, 100, 20, 110, 80, 50, 40, 10, 60, 70, 120, 90]",90,12,90,3,
13,checkEqual,"[30, 100, 20, 110, 80, 50, 40, 10, 60, 70, 120, 90]",90,12,90,3,
14,incI,"[30, 100, 20, 110, 80, 50, 40, 10, 60, 70, 120, 90]",90,12,90,4,
15,whileLoop,"[30, 100, 20, 110, 80, 50, 40, 10, 60, 70, 120, 90]",90,12,90,4,
16,checkEqual,"[30, 100, 20, 110, 80, 50, 40, 10, 60, 70, 120, 90]",90,12,90,4,
17,incI,"[30, 100, 20, 110, 80, 50, 40, 10, 60, 70, 120, 90]",90,12,90,5,
18,whileLoop,"[30, 100, 20, 110, 80, 50, 40, 10, 60, 70, 120, 90]",90,12,90,5,
19,checkEqual,"[30, 100, 20, 110, 80, 50, 40, 10, 60, 70, 120, 90]",90,12,90,5,
20,incI,"[30, 100, 20, 110, 80, 50, 40, 10, 60, 70, 120, 90]",90,12,90,6,
21,whileLoop,"[30, 100, 20, 110, 80, 50, 40, 10, 60, 70, 120, 90]",90,12,90,6,
22,checkEqual,"[30, 100, 20, 110, 80, 50, 40, 10, 60, 70, 120, 90]",90,12,90,6,
23,incI,"[30, 100, 20, 110, 80, 50, 40, 10, 60, 70, 120, 90]",90,12,90,7,
24,whileLoop,"[30, 100, 20, 110, 80, 50, 40, 10, 60, 70, 120, 90]",90,12,90,7,
25,checkEqual,"[30, 100, 20, 110, 80, 50, 40, 10, 60, 70, 120, 90]",90,12,90,7,
26,incI,"[30, 100, 20, 110, 80, 50, 40, 10, 60, 70, 120, 90]",90,12,90,8,
27,whileLoop,"[30, 100, 20, 110, 80, 50, 40, 10, 60, 70, 120, 90]",90,12,90,8,
28,checkEqual,"[30, 100, 20, 110, 80, 50, 40, 10, 60, 70, 120, 90]",90,12,90,8,
29,incI,"[30, 100, 20, 110, 80, 50, 40, 10, 60, 70, 120, 90]",90,12,90,9,
30,whileLoop,"[30, 100, 20, 110, 80, 50, 40, 10, 60, 70, 120, 90]",90,12,90,9,
31,checkEqual,"[30, 100, 20, 110, 80, 50, 40, 10, 60, 70, 120, 90]",90,12,90,9,
32,incI,"[30, 100, 20, 110, 80, 50, 40, 10, 60, 70, 120, 90]",90,12,90,10,
33,whileLoop,"[30, 100, 20, 110, 80, 50, 40, 10, 60, 70, 120, 90]",90,12,90,10,
34,checkEqual,"[30, 100, 20, 110, 80, 50, 40, 10, 60, 70, 120, 90]",90,12,90,10,
35,incI,"[30, 100, 20, 110, 80, 50, 40, 10, 60, 70, 120, 90]",90,12,90,11,
36,whileLoop,"[30, 100, 20, 110, 80, 50, 40, 10, 60, 70, 120, 90]",90,12,90,11,
37,checkEqual,"[30, 100, 20, 110, 80, 50, 40, 10, 60, 70, 120, 90]",90,12,90,11,
38,returnFound,"[30, 100, 20, 110, 80, 50, 40, 10, 60, 70, 120, 90]",90,12,90,11,11
