Step,StepId,Array,Key,n,key,low,pos,high,result
1,mainCall,"[2, 5, 8, 10, 40, 42, 45, 80, 85, 90, 150, 160, 170, 300, 310, 500]",40,16,40,,,,
2,setLow,"[2, 5, 8, 10, 40, 42, 45, 80, 85, 90, 150, 160, 170, 300, 310, 500]",40,16,40,0,,,
3,setHigh,"[2, 5, 8, 10, 40, 42, 45, 80, 85, 90, 150, 160, 170, 300, 310, 500]",40,16,40,0,,15,
4,whileLoop,"[2, 5, 8, 10, 40, 42, 45, 80, 85, 90, 150, 160, 170, 300, 310, 500]",40,16,40,0,,15,
5,setPos,"[2, 5, 8, 10, 40, 42, 45, 80, 85, 90, 150, 160, 170, 300, 310, 500]",40,16,40,0,1,15,
6,checkEqual,"[2, 5, 8, 10, 40, 42, 45, 80, 85, 90, 150, 160, 170, 300, 310, 500]",40,16,40,0,1,15,
7,checkLess,"[2, 5, 8, 10, 40, 42, 45, 80, 85, 90, 150, 160, 170, 300, 310, 500]",40,16,40,0,1,15,
8,updateLow,"[2, 5, 8, 10, 40, 42, 45, 80, 85, 90, 150, 160, 170, 300, 310, 500]",40,16,40,2,1,15,
9,whileLoop,"[2, 5, 8, 10, 40, 42, 45, 80, 85, 90, 150, 160, 170, 300, 310, 500]",40,16,40,2,1,15,
10,setPos,"[2, 5, 8, 10, 40, 42, 45, 80, 85, 90, 150, 160, 170, 300, 310, 500]",40,16,40,2,2,15,
11,checkEqual,"[2, 5, 8, 10, 40, 42, 45, 80, 85, 90, 150, 160, 170, 300, 310, 500]",40,16,40,2,2,15,
12,checkLess,"[2, 5, 8, 10, 40, 42, 45, 80, 85, 90, 150, 160, 170, 300, 310, 500]",40,16,40,2,2,15,
13,updateLow,"[2, 5, 8, 10, 40, 42, 45, 80, 85, 90, 150, 160, 170, 300, 310, 500]",40,16,40,3,2,15,
14,whileLoop,"[2, 5, 8, 10, 40, 42, 45, 80, 85, 90, 150, 160, 170, 300, 310, 500]",40,16,40,3,2,15,
15,setPos,"[2, 5, 8, 10, 40, 42, 45, 80, 85, 90, 150, 160, 170, 300, 310, 500]",40,16,40,3,3,15,
16,checkEqual,"[2, 5, 8, 10, 40, 42, 45, 80, 85, 90, 150, 160, 170, 300, 310, 500]",40,16,40,3,3,15,
17,checkLess,"[2, 5, 8, 10, 40, 42, 45, 80, 85, 90, 150, 160, 170, 300, 310, 500]",40,16,40,3,3,15,
18,updateLow,"[2, 5, 8, 10, 40, 42, 45, 80, 85, 90, 150, 160, 170, 300, 310, 500]",40,16,40,4,3,15,
19,whileLoop,"[2, 5, 8, 10, 40, 42, 45, 80, 85, 90, 150, 160, 170, 300, 310, 500]",40,16,40,4,3,15,
20,setPos,"[2, 5, 8, 10, 40, 42, 45, 80, 85, 90, 150, 160, 170, 300, 310, 500]",40,16,40,4,4,15,
21,checkEqual,"[2, 5, 8, 10, 40, 42, 45, 80, 85, 90, 150, 160, 170, 300, 310, 500]",40,16,40,4,4,15,
22,returnFound,"[2, 5, 8, 10, 40, 42, 45, 80, 85, 90, 150, 160, 170, 300, 310, 500]",40,16,40,4,4,15,4
