Step,StepId,Array,Key,n,key,fibM,fibMMm1,fibMMm2,offset,i,result
1,mainCall,"[10, 12, 15, 50, 55, 90, 200, 400]",15,8,15,,,,,,
2,setFibMMm2,"[10, 12, 15, 50, 55, 90, 200, 400]",15,8,15,,,0,,,
3,setFibMMm1,"[10, 12, 15, 50, 55, 90, 200, 400]",15,8,15,,1,0,,,
4,setFibM,"[10, 12, 15, 50, 55, 90, 200, 400]",15,8,15,1,1,0,,,
5,whileFibGrow,"[10, 12, 15, 50, 55, 90, 200, 400]",15,8,15,1,1,0,,,
6,growFibMMm2,"[10, 12, 15, 50, 55, 90, 200, 400]",15,8,15,1,1,1,,,
7,growFibMMm1,"[10, 12, 15, 50, 55, 90, 200, 400]",15,8,15,1,1,1,,,
8,growFibM,"[10, 12, 15, 50, 55, 90, 200, 400]",15,8,15,2,1,1,,,
9,whileFibGrow,"[10, 12, 15, 50, 55, 90, 200, 400]",15,8,15,2,1,1,,,
10,growFibMMm2,"[10, 12, 15, 50, 55, 90, 200, 400]",15,8,15,2,1,1,,,
11,growFibMMm1,"[10, 12, 15, 50, 55, 90, 200, 400]",15,8,15,2,2,1,,,
12,growFibM,"[10, 12, 15, 50, 55, 90, 200, 400]",15,8,15,3,2,1,,,
13,whileFibGrow,"[10, 12, 15, 50, 55, 90, 200, 400]",15,8,15,3,2,1,,,
14,growFibMMm2,"[10, 12, 15, 50, 55, 90, 200, 400]",15,8,15,3,2,2,,,
15,growFibMMm1,"[10, 12, 15, 50, 55, 90, 200, 400]",15,8,15,3,3,2,,,
16,growFibM,"[10, 12, 15, 50, 55, 90, 200, 400]",15,8,15,5,3,2,,,
17,whileFibGrow,"[10, 12, 15, 50, 55, 90, 200, 400]",15,8,15,5,3,2,,,
18,growFibMMm2,"[10, 12, 15, 50, 55, 90, 200, 400]",15,8,15,5,3,3,,,
19,growFibMMm1,"[10, 12, 15, 50, 55, 90, 200, 400]",15,8,15,5,5,3,,,
20,growFibM,"[10, 12, 15, 50, 55, 90, 200, 400]",15,8,15,8,5,3,,,
21,whileFibGrow,"[10, 12, 15, 50, 55, 90, 200, 400]",15,8,15,8,5,3,,,
22,setOffset,"[10, 12, 15, 50, 55, 90, 200, 400]",15,8,15,8,5,3,-1,,
23,whileFibM,"[10, 12, 15, 50, 55, 90, 200, 400]",15,8,15,8,5,3,-1,,
24,setI,"[10, 12, 15, 50, 55, 90, 200, 400]",15,8,15,8,5,3,-1,2,
25,checkLess,"[10, 12, 15, 50, 55, 90, 200, 400]",15,8,15,8,5,3,-1,2,
26,checkGreater,"[10, 12, 15, 50, 55, 90, 200, 400]",15,8,15,8,5,3,-1,2,
27,returnFound,"[10, 12, 15, 50, 55, 90, 200, 400]",15,8,15,8,5,3,-1,2,2
