Step,StepId,Array,Key,n,key,low,mid,high,result
1,mainCall,"[5, 8, 10, 40, 45, 50, 90, 100, 110, 200, 220, 400]",407,12,407,,,,
2,setLow,"[5, 8, 10, 40, 45, 50, 90, 100, 110, 200, 220, 400]",407,12,407,0,,,
3,setHigh,"[5, 8, 10, 40, 45, 50, 90, 100, 110, 200, 220, 400]",407,12,407,0,,11,
4,whileLoop,"[5, 8, 10, 40, 45, 50, 90, 100, 110, 200, 220, 400]",407,12,407,0,,11,
5,setMid,"[5, 8, 10, 40, 45, 50, 90, 100, 110, 200, 220, 400]",407,12,407,0,5,11,
6,checkEqual,"[5, 8, 10, 40, 45, 50, 90, 100, 110, 200, 220, 400]",407,12,407,0,5,11,
7,checkLess,"[5, 8, 10, 40, 45, 50, 90, 100, 110, 200, 220, 400]",407,12,407,0,5,11,
8,updateLow,"[5, 8, 10, 40, 45, 50, 90, 100, 110, 200, 220, 400]",407,12,407,6,5,11,
9,whileLoop,"[5, 8, 10, 40, 45, 50, 90, 100, 110, 200, 220, 400]",407,12,407,6,5,11,
10,setMid,"[5, 8, 10, 40, 45, 50, 90, 100, 110, 200, 220, 400]",407,12,407,6,8,11,
11,checkEqual,"[5, 8, 10, 40, 45, 50, 90, 100, 110, 200, 220, 400]",407,12,407,6,8,11,
12,checkLess,"[5, 8, 10, 40, 45, 50, 90, 100, 110, 200, 220, 400]",407,12,407,6,8,11,
13,updateLow,"[5, 8, 10, 40, 45, 50, 90, 100, 110, 200, 220, 400]",407,12,407,9,8,11,
14,whileLoop,"[5, 8, 10, 40, 45, 50, 90, 100, 110, 200, 220, 400]",407,12,407,9,8,11,
15,setMid,"[5, 8, 10, 40, 45, 50, 90, 100, 110, 200, 220, 400]",407,12,407,9,10,11,
16,checkEqual,"[5, 8, 10, 40, 45, 50, 90, 100, 110, 200, 220, 400]",407,12,407,9,10,11,
17,checkLess,"[5, 8, 10, 40, 45, 50, 90, 100, 110, 200, 220, 400]",407,12,407,9,10,11,
18,updateLow,"[5, 8, 10, 40, 45, 50, 90, 100, 110, 200, 220, 400]",407,12,407,11,10,11,
19,whileLoop,"[5, 8, 10, 40, 45, 50, 90, 100, 110, 200, 220, 400]",407,12,407,11,10,11,
20,setMid,"[5, 8, 10, 40, 45, 50, 90, 100, 110, 200, 220, 400]",407,12,407,11,11,11,
21,checkEqual,"[5, 8, 10, 40, 45, 50, 90, 100, 110, 200, 220, 400]",407,12,407,11,11,11,
22,checkLess,"[5, 8, 10, 40, 45, 50, 90, 100, 110, 200, 220, 400]",407,12,407,11,11,11,
23,updateLow,"[5, 8, 10, 40, 45, 50, 90, 100, 110, 200, 220, 400]",407,12,407,12,11,11,
24,whileLoop,"[5, 8, 10, 40, 45, 50, 90, 100, 110, 200, 220, 400]",407,12,407,12,11,11,
25,returnMiss,"[5, 8, 10, 40, 45, 50, 90, 100, 110, 200, 220, 400]",407,12,407,12,11,11,NOT_FOUND
