Step,StepId,Array,Key,n,key,bound,low,mid,high,result
1,mainCall,"[10, 12, 15, 50, 55, 90, 200, 400]",407,8,407,,,,,
2,checkFirst,"[10, 12, 15, 50, 55, 90, 200, 400]",407,8,407,,,,,
3,setBound,"[10, 12, 15, 50, 55, 90, 200, 400]",407,8,407,1,,,,
4,whileExp,"[10, 12, 15, 50, 55, 90, 200, 400]",407,8,407,1,,,,
5,doubleBound,"[10, 12, 15, 50, 55, 90, 200, 400]",407,8,407,2,,,,
6,whileExp,"[10, 12, 15, 50, 55, 90, 200, 400]",407,8,407,2,,,,
7,doubleBound,"[10, 12, 15, 50, 55, 90, 200, 400]",407,8,407,4,,,,
8,whileExp,"[10, 12, 15, 50, 55, 90, 200, 400]",407,8,407,4,,,,
9,doubleBound,"[10, 12, 15, 50, 55, 90, 200, 400]",407,8,407,8,,,,
10,whileExp,"[10, 12, 15, 50, 55, 90, 200, 400]",407,8,407,8,,,,
11,setLow,"[10, 12, 15, 50, 55, 90, 200, 400]",407,8,407,8,4,,,
12,setHigh,"[10, 12, 15, 50, 55, 90, 200, 400]",407,8,407,8,4,,7,
13,whileLoop,"[10, 12, 15, 50, 55, 90, 200, 400]",407,8,407,8,4,,7,
14,setMid,"[10, 12, 15, 50, 55, 90, 200, 400]",407,8,407,8,4,5,7,
15,checkEqual,"[10, 12, 15, 50, 55, 90, 200, 400]",407,8,407,8,4,5,7,
16,checkLess,"[10, 12, 15, 50, 55, 90, 200, 400]",407,8,407,8,4,5,7,
17,updateLow,"[10, 12, 15, 50, 55, 90, 200, 400]",407,8,407,8,6,5,7,
18,whileLoop,"[10, 12, 15, 50, 55, 90, 200, 400]",407,8,407,8,6,5,7,
19,setMid,"[10, 12, 15, 50, 55, 90, 200, 400]",407,8,407,8,6,6,7,
20,checkEqual,"[10, 12, 15, 50, 55, 90, 200, 400]",407,8,407,8,6,6,7,
21,checkLess,"[10, 12, 15, 50, 55, 90, 200, 400]",407,8,407,8,6,6,7,
22,updateLow,"[10, 12, 15, 50, 55, 90, 200, 400]",407,8,407,8,7,6,7,
23,whileLoop,"[10, 12, 15, 50, 55, 90, 200, 400]",407,8,407,8,7,6,7,
24,setMid,"[10, 12, 15, 50, 55, 90, 200, 400]",407,8,407,8,7,7,7,
25,checkEqual,"[10, 12, 15, 50, 55, 90, 200, 400]",407,8,407,8,7,7,7,
26,checkLess,"[10, 12, 15, 50, 55, 90, 200, 400]",407,8,407,8,7,7,7,
27,updateLow,"[10, 12, 15, 50, 55, 90, 200, 400]",407,8,407,8,8,7,7,
28,whileLoop,"[10, 12, 15, 50, 55, 90, 200, 400]",407,8,407,8,8,7,7,
29,returnMiss,"[10, 12, 15, 50, 55, 90, 200, 400]",407,8,407,8,8,7,7,NOT_FOUND
