Step,StepId,Array,Key,n,key,low,mid,high,result
1,mainCall,"[5, 8, 10, 40, 45, 50, 90, 100, 110, 200, 220, 400]",5,12,5,,,,
2,setLow,"[5, 8, 10, 40, 45, 50, 90, 100, 110, 200, 220, 400]",5,12,5,0,,,
3,setHigh,"[5, 8, 10, 40, 45, 50, 90, 100, 110, 200, 220, 400]",5,12,5,0,,11,
4,whileLoop,"[5, 8, 10, 40, 45, 50, 90, 100, 110, 200, 220, 400]",5,12,5,0,,11,
5,setMid,"[5, 8, 10, 40, 45, 50, 90, 100, 110, 200, 220, 400]",5,12,5,0,5,11,
6,checkEqual,"[5, 8, 10, 40, 45, 50, 90, 100, 110, 200, 220, 400]",5,12,5,0,5,11,
7,checkLess,"[5, 8, 10, 40, 45, 50, 90, 100, 110, 200, 220, 400]",5,12,5,0,5,11,
8,updateHigh,"[5, 8, 10, 40, 45, 50, 90, 100, 110, 200, 220, 400]",5,12,5,0,5,4,
9,whileLoop,"[5, 8, 10, 40, 45, 50, 90, 100, 110, 200, 220, 400]",5,12,5,0,5,4,
10,setMid,"[5, 8, 10, 40, 45, 50, 90, 100, 110, 200, 220, 400]",5,12,5,0,2,4,
11,checkEqual,"[5, 8, 10, 40, 45, 50, 90, 100, 110, 200, 220, 400]",5,12,5,0,2,4,
12,checkLess,"[5, 8, 10, 40, 45, 50, 90, 100, 110, 200, 220, 400]",5,12,5,0,2,4,
13,updateHigh,"[5, 8, 10, 40, 45, 50, 90, 100, 110, 200, 220, 400]",5,12,5,0,2,1,
14,whileLoop,"[5, 8, 10, 40, 45, 50, 90, 100, 110, 200, 220, 400]",5,12,5,0,2,1,
15,setMid,"[5, 8, 10, 40, 45, 50, 90, 100, 110, 200, 220, 400]",5,12,5,0,0,1,
16,checkEqual,"[5, 8, 10, 40, 45, 50, 90, 100, 110, 200, 220, 400]",5,12,5,0,0,1,
17,returnFound,"[5, 8, 10, 40, 45, 50, 90, 100, 110, 200, 220, 400]",5,12,5,0,0,1,0
