# sequence=100,200,300
Step,StepId,key,current,parent,side,root
1,mainLoop,100,null,null,—,null
2,callInsert,100,null,null,—,null
3,createNode,100,null,null,—,null
4,checkEmpty,100,null,null,—,null
5,returnNew,100,100,null,—,100
6,mainLoop,200,null,null,—,100
7,callInsert,200,null,null,—,100
8,createNode,200,null,null,—,100
9,checkEmpty,200,null,null,—,100
10,setCurrent,200,100,null,—,100
11,setParent,200,100,null,—,100
12,whileLoop,200,100,null,—,100
13,parentAssign,200,100,100,—,100
14,checkLess,200,100,100,right,100
15,goRight,200,null,100,right,100
16,whileLoop,200,null,100,right,100
17,attachCheck,200,null,100,right,100
18,attachRight,200,null,100,right,100
19,returnRoot,200,null,100,right,100
20,mainLoop,300,null,null,—,100
21,callInsert,300,null,null,—,100
22,createNode,300,null,null,—,100
23,checkEmpty,300,null,null,—,100
24,setCurrent,300,100,null,—,100
25,setParent,300,100,null,—,100
26,whileLoop,300,100,null,—,100
27,parentAssign,300,100,100,—,100
28,checkLess,300,100,100,right,100
29,goRight,300,200,100,right,100
30,whileLoop,300,200,100,right,100
31,parentAssign,300,200,200,right,100
32,checkLess,300,200,200,right,100
33,goRight,300,null,200,right,100
34,whileLoop,300,null,200,right,100
35,attachCheck,300,null,200,right,100
36,attachRight,300,null,200,right,100
37,returnRoot,300,null,200,right,100
