Step,StepId,Array,Key,n,key,bound,low,mid,high,result
1,mainCall,"[10, 12, 15, 50, 55, 90, 200, 400]",55,8,55,,,,,
2,checkFirst,"[10, 12, 15, 50, 55, 90, 200, 400]",55,8,55,,,,,
3,setBound,"[10, 12, 15, 50, 55, 90, 200, 400]",55,8,55,1,,,,
4,whileExp,"[10, 12, 15, 50, 55, 90, 200, 400]",55,8,55,1,,,,
5,doubleBound,"[10, 12, 15, 50, 55, 90, 200, 400]",55,8,55,2,,,,
6,whileExp,"[10, 12, 15, 50, 55, 90, 200, 400]",55,8,55,2,,,,
7,doubleBound,"[10, 12, 15, 50, 55, 90, 200, 400]",55,8,55,4,,,,
8,whileExp,"[10, 12, 15, 50, 55, 90, 200, 400]",55,8,55,4,,,,
9,setLow,"[10, 12, 15, 50, 55, 90, 200, 400]",55,8,55,4,2,,,
10,setHigh,"[10, 12, 15, 50, 55, 90, 200, 400]",55,8,55,4,2,,4,
11,whileLoop,"[10, 12, 15, 50, 55, 90, 200, 400]",55,8,55,4,2,,4,
12,setMid,"[10, 12, 15, 50, 55, 90, 200, 400]",55,8,55,4,2,3,4,
13,checkEqual,"[10, 12, 15, 50, 55, 90, 200, 400]",55,8,55,4,2,3,4,
14,checkLess,"[10, 12, 15, 50, 55, 90, 200, 400]",55,8,55,4,2,3,4,
15,updateLow,"[10, 12, 15, 50, 55, 90, 200, 400]",55,8,55,4,4,3,4,
16,whileLoop,"[10, 12, 15, 50, 55, 90, 200, 400]",55,8,55,4,4,3,4,
17,setMid,"[10, 12, 15, 50, 55, 90, 200, 400]",55,8,55,4,4,4,4,
18,checkEqual,"[10, 12, 15, 50, 55, 90, 200, 400]",55,8,55,4,4,4,4,
19,returnFound,"[10, 12, 15, 50, 55, 90, 200, 400]",55,8,55,4,4,4,4,4
