Step,StepId,Array,Key,n,key,bound,low,mid,high,result
1,mainCall,"[5, 8, 10, 40, 45, 50, 90, 100, 110, 200, 220, 400]",400,12,400,,,,,
2,checkFirst,"[5, 8, 10, 40, 45, 50, 90, 100, 110, 200, 220, 400]",400,12,400,,,,,
3,setBound,"[5, 8, 10, 40, 45, 50, 90, 100, 110, 200, 220, 400]",400,12,400,1,,,,
4,whileExp,"[5, 8, 10, 40, 45, 50, 90, 100, 110, 200, 220, 400]",400,12,400,1,,,,
5,doubleBound,"[5, 8, 10, 40, 45, 50, 90, 100, 110, 200, 220, 400]",400,12,400,2,,,,
6,whileExp,"[5, 8, 10, 40, 45, 50, 90, 100, 110, 200, 220, 400]",400,12,400,2,,,,
7,doubleBound,"[5, 8, 10, 40, 45, 50, 90, 100, 110, 200, 220, 400]",400,12,400,4,,,,
8,whileExp,"[5, 8, 10, 40, 45, 50, 90, 100, 110, 200, 220, 400]",400,12,400,4,,,,
9,doubleBound,"[5, 8, 10, 40, 45, 50, 90, 100, 110, 200, 220, 400]",400,12,400,8,,,,
10,whileExp,"[5, 8, 10, 40, 45, 50, 90, 100, 110, 200, 220, 400]",400,12,400,8,,,,
11,doubleBound,"[5, 8, 10, 40, 45, 50, 90, 100, 110, 200, 220, 400]",400,12,400,16,,,,
12,whileExp,"[5, 8, 10, 40, 45, 50, 90, 100, 110, 200, 220, 400]",400,12,400,16,,,,
13,setLow,"[5, 8, 10, 40, 45, 50, 90, 100, 110, 200, 220, 400]",400,12,400,16,8,,,
14,setHigh,"[5, 8, 10, 40, 45, 50, 90, 100, 110, 200, 220, 400]",400,12,400,16,8,,11,
15,whileLoop,"[5, 8, 10, 40, 45, 50, 90, 100, 110, 200, 220, 400]",400,12,400,16,8,,11,
16,setMid,"[5, 8, 10, 40, 45, 50, 90, 100, 110, 200, 220, 400]",400,12,400,16,8,9,11,
17,checkEqual,"[5, 8, 10, 40, 45, 50, 90, 100, 110, 200, 220, 400]",400,12,400,16,8,9,11,
18,checkLess,"[5, 8, 10, 40, 45, 50, 90, 100, 110, 200, 220, 400]",400,12,400,16,8,9,11,
19,updateLow,"[5, 8, 10, 40, 45, 50, 90, 100, 110, 200, 220, 400]",400,12,400,16,10,9,11,
20,whileLoop,"[5, 8, 10, 40, 45, 50, 90, 100, 110, 200, 220, 400]",400,12,400,16,10,9,11,
21,setMid,"[5, 8, 10, 40, 45, 50, 90, 100, 110, 200, 220, 400]",400,12,400,16,10,10,11,
22,checkEqual,"[5, 8, 10, 40, 45, 50, 90, 100, 110, 200, 220, 400]",400,12,400,16,10,10,11,
23,checkLess,"[5, 8, 10, 40, 45, 50, 90, 100, 110, 200, 220, 400]",400,12,400,16,10,10,11,
24,updateLow,"[5, 8, 10, 40, 45, 50, 90, 100, 110, 200, 220, 400]",400,12,400,16,11,10,11,
25,whileLoop,"[5, 8, 10, 40, 45, 50, 90, 100, 110, 200, 220, 400]",400,12,400,16,11,10,11,
26,setMid,"[5, 8, 10, 40, 45, 50, 90, 100, 110, 200, 220, 400]",400,12,400,16,11,11,11,
27,checkEqual,"[5, 8, 10, 40, 45, 50, 90, 100, 110, 200, 220, 400]",400,12,400,16,11,11,11,
28,returnFound,"[5, 8, 10, 40, 45, 50, 90, 100, 110, 200, 220, 400]",400,12,400,16,11,11,11,11
