Step,StepId,Array,Key,n,key,step_length,step,step_or_n,prev,result
1,mainCall,"[5, 8, 10, 40, 45, 50, 90, 100, 110, 200, 220, 400]",10,12,10,,,,,
2,setStepLength,"[5, 8, 10, 40, 45, 50, 90, 100, 110, 200, 220, 400]",10,12,10,3,,,,
3,setStep,"[5, 8, 10, 40, 45, 50, 90, 100, 110, 200, 220, 400]",10,12,10,3,3,,,
4,setPrev,"[5, 8, 10, 40, 45, 50, 90, 100, 110, 200, 220, 400]",10,12,10,3,3,,0,
5,setStepOrN,"[5, 8, 10, 40, 45, 50, 90, 100, 110, 200, 220, 400]",10,12,10,3,3,3,0,
6,whileJump,"[5, 8, 10, 40, 45, 50, 90, 100, 110, 200, 220, 400]",10,12,10,3,3,3,0,
7,whileLinear,"[5, 8, 10, 40, 45, 50, 90, 100, 110, 200, 220, 400]",10,12,10,3,3,3,0,
8,incPrev,"[5, 8, 10, 40, 45, 50, 90, 100, 110, 200, 220, 400]",10,12,10,3,3,3,1,
9,checkBound,"[5, 8, 10, 40, 45, 50, 90, 100, 110, 200, 220, 400]",10,12,10,3,3,3,1,
10,whileLinear,"[5, 8, 10, 40, 45, 50, 90, 100, 110, 200, 220, 400]",10,12,10,3,3,3,1,
11,incPrev,"[5, 8, 10, 40, 45, 50, 90, 100, 110, 200, 220, 400]",10,12,10,3,3,3,2,
12,checkBound,"[5, 8, 10, 40, 45, 50, 90, 100, 110, 200, 220, 400]",10,12,10,3,3,3,2,
13,whileLinear,"[5, 8, 10, 40, 45, 50, 90, 100, 110, 200, 220, 400]",10,12,10,3,3,3,2,
14,checkEqual,"[5, 8, 10, 40, 45, 50, 90, 100, 110, 200, 220, 400]",10,12,10,3,3,3,2,
15,returnFound,"[5, 8, 10, 40, 45, 50, 90, 100, 110, 200, 220, 400]",10,12,10,3,3,3,2,2
