Step,StepId,Array,Key,n,key,fibM,fibMMm1,fibMMm2,offset,i,result
1,mainCall,"[5, 8, 10, 40, 45, 50, 90, 100, 110, 200, 220, 400]",200,12,200,,,,,,
2,setFibMMm2,"[5, 8, 10, 40, 45, 50, 90, 100, 110, 200, 220, 400]",200,12,200,,,0,,,
3,setFibMMm1,"[5, 8, 10, 40, 45, 50, 90, 100, 110, 200, 220, 400]",200,12,200,,1,0,,,
4,setFibM,"[5, 8, 10, 40, 45, 50, 90, 100, 110, 200, 220, 400]",200,12,200,1,1,0,,,
5,whileFibGrow,"[5, 8, 10, 40, 45, 50, 90, 100, 110, 200, 220, 400]",200,12,200,1,1,0,,,
6,growFibMMm2,"[5, 8, 10, 40, 45, 50, 90, 100, 110, 200, 220, 400]",200,12,200,1,1,1,,,
7,growFibMMm1,"[5, 8, 10, 40, 45, 50, 90, 100, 110, 200, 220, 400]",200,12,200,1,1,1,,,
8,growFibM,"[5, 8, 10, 40, 45, 50, 90, 100, 110, 200, 220, 400]",200,12,200,2,1,1,,,
9,whileFibGrow,"[5, 8, 10, 40, 45, 50, 90, 100, 110, 200, 220, 400]",200,12,200,2,1,1,,,
10,growFibMMm2,"[5, 8, 10, 40, 45, 50, 90, 100, 110, 200, 220, 400]",200,12,200,2,1,1,,,
11,growFibMMm1,"[5, 8, 10, 40, 45, 50, 90, 100, 110, 200, 220, 400]",200,12,200,2,2,1,,,
12,growFibM,"[5, 8, 10, 40, 45, 50, 90, 100, 110, 200, 220, 400]",200,12,200,3,2,1,,,
13,whileFibGrow,"[5, 8, 10, 40, 45, 50, 90, 100, 110, 200, 220, 400]",200,12,200,3,2,1,,,
14,growFibMMm2,"[5, 8, 10, 40, 45, 50, 90, 100, 110, 200, 220, 400]",200,12,200,3,2,2,,,
15,growFibMMm1,"[5, 8, 10, 40, 45, 50, 90, 100, 110, 200, 220, 400]",200,12,200,3,3,2,,,
16,growFibM,"[5, 8, 10, 40, 45, 50, 90, 100, 110, 200, 220, 400]",200,12,200,5,3,2,,,
17,whileFibGrow,"[5, 8, 10, 40, 45, 50, 90, 100, 110, 200, 220, 400]",200,12,200,5,3,2,,,
18,growFibMMm2,"[5, 8, 10, 40, 45, 50, 90, 100, 110, 200, 220, 400]",200,12,200,5,3,3,,,
19,growFibMMm1,"[5, 8, 10, 40, 45, 50, 90, 100, 110, 200, 220, 400]",200,12,200,5,5,3,,,
20,growFibM,"[5, 8, 10, 40, 45, 50, 90, 100, 110, 200, 220, 400]",200,12,200,8,5,3,,,
21,whileFibGrow,"[5, 8, 10, 40, 45, 50, 90, 100, 110, 200, 220, 400]",200,12,200,8,5,3,,,
22,growFibMMm2,"[5, 8, 10, 40, 45, 50, 90, 100, 110, 200, 220, 400]",200,12,200,8,5,5,,,
23,growFibMMm1,"[5, 8, 10, 40, 45, 50, 90, 100, 110, 200, 220, 400]",200,12,200,8,8,5,,,
24,growFibM,"[5, 8, 10, 40, 45, 50, 90, 100, 110, 200, 220, 400]",200,12,200,13,8,5,,,
25,whileFibGrow,"[5, 8, 10, 40, 45, 50, 90, 100, 110, 200, 220, 400]",200,12,200,13,8,5,,,
26,setOffset,"[5, 8, 10, 40, 45, 50, 90, 100, 110, 200, 220, 400]",200,12,200,13,8,5,-1,,
27,whileFibM,"[5, 8, 10, 40, 45, 50, 90, 100, 110, 200, 220, 400]",200,12,200,13,8,5,-1,,
28,setI,"[5, 8, 10, 40, 45, 50, 90, 100, 110, 200, 220, 400]",200,12,200,13,8,5,-1,4,
29,checkLess,"[5, 8, 10, 40, 45, 50, 90, 100, 110, 200, 220, 400]",200,12,200,13,8,5,-1,4,
30,shrinkRightFibM,"[5, 8, 10, 40, 45, 50, 90, 100, 110, 200, 220, 400]",200,12,200,8,8,5,-1,4,
31,shrinkRightFibMMm1,"[5, 8, 10, 40, 45, 50, 90, 100, 110, 200, 220, 400]",200,12,200,8,5,5,-1,4,
32,shrinkRightFibMMm2,"[5, 8, 10, 40, 45, 50, 90, 100, 110, 200, 220, 400]",200,12,200,8,5,3,-1,4,
33,updateOffset,"[5, 8, 10, 40, 45, 50, 90, 100, 110, 200, 220, 400]",200,12,200,8,5,3,4,4,
34,whileFibM,"[5, 8, 10, 40, 45, 50, 90, 100, 110, 200, 220, 400]",200,12,200,8,5,3,4,4,
35,setI,"[5, 8, 10, 40, 45, 50, 90, 100, 110, 200, 220, 400]",200,12,200,8,5,3,4,7,
36,checkLess,"[5, 8, 10, 40, 45, 50, 90, 100, 110, 200, 220, 400]",200,12,200,8,5,3,4,7,
37,shrinkRightFibM,"[5, 8, 10, 40, 45, 50, 90, 100, 110, 200, 220, 400]",200,12,200,5,5,3,4,7,
38,shrinkRightFibMMm1,"[5, 8, 10, 40, 45, 50, 90, 100, 110, 200, 220, 400]",200,12,200,5,3,3,4,7,
39,shrinkRightFibMMm2,"[5, 8, 10, 40, 45, 50, 90, 100, 110, 200, 220, 400]",200,12,200,5,3,2,4,7,
40,updateOffset,"[5, 8, 10, 40, 45, 50, 90, 100, 110, 200, 220, 400]",200,12,200,5,3,2,7,7,
41,whileFibM,"[5, 8, 10, 40, 45, 50, 90, 100, 110, 200, 220, 400]",200,12,200,5,3,2,7,7,
42,setI,"[5, 8, 10, 40, 45, 50, 90, 100, 110, 200, 220, 400]",200,12,200,5,3,2,7,9,
43,checkLess,"[5, 8, 10, 40, 45, 50, 90, 100, 110, 200, 220, 400]",200,12,200,5,3,2,7,9,
44,checkGreater,"[5, 8, 10, 40, 45, 50, 90, 100, 110, 200, 220, 400]",200,12,200,5,3,2,7,9,
45,returnFound,"[5, 8, 10, 40, 45, 50, 90, 100, 110, 200, 220, 400]",200,12,200,5,3,2,7,9,9
