Step,StepId,Array,Key,n,key,fibM,fibMMm1,fibMMm2,offset,i,result
1,mainCall,"[10, 12, 15, 50, 55, 90, 200, 400]",407,8,407,,,,,,
2,setFibMMm2,"[10, 12, 15, 50, 55, 90, 200, 400]",407,8,407,,,0,,,
3,setFibMMm1,"[10, 12, 15, 50, 55, 90, 200, 400]",407,8,407,,1,0,,,
4,setFibM,"[10, 12, 15, 50, 55, 90, 200, 400]",407,8,407,1,1,0,,,
5,whileFibGrow,"[10, 12, 15, 50, 55, 90, 200, 400]",407,8,407,1,1,0,,,
6,growFibMMm2,"[10, 12, 15, 50, 55, 90, 200, 400]",407,8,407,1,1,1,,,
7,growFibMMm1,"[10, 12, 15, 50, 55, 90, 200, 400]",407,8,407,1,1,1,,,
8,growFibM,"[10, 12, 15, 50, 55, 90, 200, 400]",407,8,407,2,1,1,,,
9,whileFibGrow,"[10, 12, 15, 50, 55, 90, 200, 400]",407,8,407,2,1,1,,,
10,growFibMMm2,"[10, 12, 15, 50, 55, 90, 200, 400]",407,8,407,2,1,1,,,
11,growFibMMm1,"[10, 12, 15, 50, 55, 90, 200, 400]",407,8,407,2,2,1,,,
12,growFibM,"[10, 12, 15, 50, 55, 90, 200, 400]",407,8,407,3,2,1,,,
13,whileFibGrow,"[10, 12, 15, 50, 55, 90, 200, 400]",407,8,407,3,2,1,,,
14,growFibMMm2,"[10, 12, 15, 50, 55, 90, 200, 400]",407,8,407,3,2,2,,,
15,growFibMMm1,"[10, 12, 15, 50, 55, 90, 200, 400]",407,8,407,3,3,2,,,
16,growFibM,"[10, 12, 15, 50, 55, 90, 200, 400]",407,8,407,5,3,2,,,
17,whileFibGrow,"[10, 12, 15, 50, 55, 90, 200, 400]",407,8,407,5,3,2,,,
18,growFibMMm2,"[10, 12, 15, 50, 55, 90, 200, 400]",407,8,407,5,3,3,,,
19,growFibMMm1,"[10, 12, 15, 50, 55, 90, 200, 400]",407,8,407,5,5,3,,,
20,growFibM,"[10, 12, 15, 50, 55, 90, 200, 400]",407,8,407,8,5,3,,,
21,whileFibGrow,"[10, 12, 15, 50, 55, 90, 200, 400]",407,8,407,8,5,3,,,
22,setOffset,"[10, 12, 15, 50, 55, 90, 200, 400]",407,8,407,8,5,3,-1,,
23,whileFibM,"[10, 12, 15, 50, 55, 90, 200, 400]",407,8,407,8,5,3,-1,,
24,setI,"[10, 12, 15, 50, 55, 90, 200, 400]",407,8,407,8,5,3,-1,2,
25,checkLess,"[10, 12, 15, 50, 55, 90, 200, 400]",407,8,407,8,5,3,-1,2,
26,shrinkRightFibM,"[10, 12, 15, 50, 55, 90, 200, 400]",407,8,407,5,5,3,-1,2,
27,shrinkRightFibMMm1,"[10, 12, 15, 50, 55, 90, 200, 400]",407,8,407,5,3,3,-1,2,
28,shrinkRightFibMMm2,"[10, 12, 15, 50, 55, 90, 200, 400]",407,8,407,5,3,2,-1,2,
29,updateOffset,"[10, 12, 15, 50, 55, 90, 200, 400]",407,8,407,5,3,2,2,2,
30,whileFibM,"[10, 12, 15, 50, 55, 90, 200, 400]",407,8,407,5,3,2,2,2,
31,setI,"[10, 12, 15, 50, 55, 90, 200, 400]",407,8,407,5,3,2,2,4,
32,checkLess,"[10, 12, 15, 50, 55, 90, 200, 400]",407,8,407,5,3,2,2,4,
33,shrinkRightFibM,"[10, 12, 15, 50, 55, 90, 200, 400]",407,8,407,3,3,2,2,4,
34,shrinkRightFibMMm1,"[10, 12, 15, 50, 55, 90, 200, 400]",407,8,407,3,2,2,2,4,
35,shrinkRightFibMMm2,"[10, 12, 15, 50, 55, 90, 200, 400]",407,8,407,3,2,1,2,4,
36,updateOffset,"[10, 12, 15, 50, 55, 90, 200, 400]",407,8,407,3,2,1,4,4,
37,whileFibM,"[10, 12, 15, 50, 55, 90, 200, 400]",407,8,407,3,2,1,4,4,
38,setI,"[10, 12, 15, 50, 55, 90, 200, 400]",407,8,407,3,2,1,4,5,
39,checkLess,"[10, 12, 15, 50, 55, 90, 200, 400]",407,8,407,3,2,1,4,5,
40,shrinkRightFibM,"[10, 12, 15, 50, 55, 90, 200, 400]",407,8,407,2,2,1,4,5,
41,shrinkRightFibMMm1,"[10, 12, 15, 50, 55, 90, 200, 400]",407,8,407,2,1,1,4,5,
42,shrinkRightFibMMm2,"[10, 12, 15, 50, 55, 90, 200, 400]",407,8,407,2,1,1,4,5,
43,updateOffset,"[10, 12, 15, 50, 55, 90, 200, 400]",407,8,407,2,1,1,5,5,
44,whileFibM,"[10, 12, 15, 50, 55, 90, 200, 400]",407,8,407,2,1,1,5,5,
45,setI,"[10, 12, 15, 50, 55, 90, 200, 400]",407,8,407,2,1,1,5,6,
46,checkLess,"[10, 12, 15, 50, 55, 90, 200, 400]",407,8,407,2,1,1,5,6,
47,shrinkRightFibM,"[10, 12, 15, 50, 55, 90, 200, 400]",407,8,407,1,1,1,5,6,
48,shrinkRightFibMMm1,"[10, 12, 15, 50, 55, 90, 200, 400]",407,8,407,1,1,1,5,6,
49,shrinkRightFibMMm2,"[10, 12, 15, 50, 55, 90, 200, 400]",407,8,407,1,1,0,5,6,
50,updateOffset,"[10, 12, 15, 50, 55, 90, 200, 400]",407,8,407,1,1,0,6,6,
51,whileFibM,"[10, 12, 15, 50, 55, 90, 200, 400]",407,8,407,1,1,0,6,6,
52,checkLast,"[10, 12, 15, 50, 55, 90, 200, 400]",407,8,407,1,1,0,6,6,
53,returnMiss,"[10, 12, 15, 50, 55, 90, 200, 400]",407,8,407,1,1,0,6,6,NOT_FOUND
