Step,StepId,Array,Key,n,key,low,pos,high,result
1,mainCall,"[10, 12, 15, 50, 55, 90, 200, 400]",55,8,55,,,,
2,setLow,"[10, 12, 15, 50, 55, 90, 200, 400]",55,8,55,0,,,
3,setHigh,"[10, 12, 15, 50, 55, 90, 200, 400]",55,8,55,0,,7,
4,whileLoop,"[10, 12, 15, 50, 55, 90, 200, 400]",55,8,55,0,,7,
5,setPos,"[10, 12, 15, 50, 55, 90, 200, 400]",55,8,55,0,0,7,
6,checkEqual,"[10, 12, 15, 50, 55, 90, 200, 400]",55,8,55,0,0,7,
7,checkLess,"[10, 12, 15, 50, 55, 90, 200, 400]",55,8,55,0,0,7,
8,updateLow,"[10, 12, 15, 50, 55, 90, 200, 400]",55,8,55,1,0,7,
9,whileLoop,"[10, 12, 15, 50, 55, 90, 200, 400]",55,8,55,1,0,7,
10,setPos,"[10, 12, 15, 50, 55, 90, 200, 400]",55,8,55,1,1,7,
11,checkEqual,"[10, 12, 15, 50, 55, 90, 200, 400]",55,8,55,1,1,7,
12,checkLess,"[10, 12, 15, 50, 55, 90, 200, 400]",55,8,55,1,1,7,
13,updateLow,"[10, 12, 15, 50, 55, 90, 200, 400]",55,8,55,2,1,7,
14,whileLoop,"[10, 12, 15, 50, 55, 90, 200, 400]",55,8,55,2,1,7,
15,setPos,"[10, 12, 15, 50, 55, 90, 200, 400]",55,8,55,2,2,7,
16,checkEqual,"[10, 12, 15, 50, 55, 90, 200, 400]",55,8,55,2,2,7,
17,checkLess,"[10, 12, 15, 50, 55, 90, 200, 400]",55,8,55,2,2,7,
18,updateLow,"[10, 12, 15, 50, 55, 90, 200, 400]",55,8,55,3,2,7,
19,whileLoop,"[10, 12, 15, 50, 55, 90, 200, 400]",55,8,55,3,2,7,
20,setPos,"[10, 12, 15, 50, 55, 90, 200, 400]",55,8,55,3,3,7,
21,checkEqual,"[10, 12, 15, 50, 55, 90, 200, 400]",55,8,55,3,3,7,
22,checkLess,"[10, 12, 15, 50, 55, 90, 200, 400]",55,8,55,3,3,7,
23,updateLow,"[10, 12, 15, 50, 55, 90, 200, 400]",55,8,55,4,3,7,
24,whileLoop,"[10, 12, 15, 50, 55, 90, 200, 400]",55,8,55,4,3,7,
25,setPos,"[10, 12, 15, 50, 55, 90, 200, 400]",55,8,55,4,4,7,
26,checkEqual,"[10, 12, 15, 50, 55, 90, 200, 400]",55,8,55,4,4,7,
27,returnFound,"[10, 12, 15, 50, 55, 90, 200, 400]",55,8,55,4,4,7,4
