Step,StepId,Array,Key,n,key,low,mid,high,result
1,mainCall,"[10, 12, 15, 50, 55, 90, 200, 400]",407,8,407,,,,
2,setLow,"[10, 12, 15, 50, 55, 90, 200, 400]",407,8,407,0,,,
3,setHigh,"[10, 12, 15, 50, 55, 90, 200, 400]",407,8,407,0,,7,
4,whileLoop,"[10, 12, 15, 50, 55, 90, 200, 400]",407,8,407,0,,7,
5,setMid,"[10, 12, 15, 50, 55, 90, 200, 400]",407,8,407,0,3,7,
6,checkEqual,"[10, 12, 15, 50, 55, 90, 200, 400]",407,8,407,0,3,7,
7,checkLess,"[10, 12, 15, 50, 55, 90, 200, 400]",407,8,407,0,3,7,
8,updateLow,"[10, 12, 15, 50, 55, 90, 200, 400]",407,8,407,4,3,7,
9,whileLoop,"[10, 12, 15, 50, 55, 90, 200, 400]",407,8,407,4,3,7,
10,setMid,"[10, 12, 15, 50, 55, 90, 200, 400]",407,8,407,4,5,7,
11,checkEqual,"[10, 12, 15, 50, 55, 90, 200, 400]",407,8,407,4,5,7,
12,checkLess,"[10, 12, 15, 50, 55, 90, 200, 400]",407,8,407,4,5,7,
13,updateLow,"[10, 12, 15, 50, 55, 90, 200, 400]",407,8,407,6,5,7,
14,whileLoop,"[10, 12, 15, 50, 55, 90, 200, 400]",407,8,407,6,5,7,
15,setMid,"[10, 12, 15, 50, 55, 90, 200, 400]",407,8,407,6,6,7,
16,checkEqual,"[10, 12, 15, 50, 55, 90, 200, 400]",407,8,407,6,6,7,
17,checkLess,"[10, 12, 15, 50, 55, 90, 200, 400]",407,8,407,6,6,7,
18,updateLow,"[10, 12, 15, 50, 55, 90, 200, 400]",407,8,407,7,6,7,
19,whileLoop,"[10, 12, 15, 50, 55, 90, 200, 400]",407,8,407,7,6,7,
20,setMid,"[10, 12, 15, 50, 55, 90, 200, 400]",407,8,407,7,7,7,
21,checkEqual,"[10, 12, 15, 50, 55, 90, 200, 400]",407,8,407,7,7,7,
22,checkLess,"[10, 12, 15, 50, 55, 90, 200, 400]",407,8,407,7,7,7,
23,updateLow,"[10, 12, 15, 50, 55, 90, 200, 400]",407,8,407,8,7,7,
24,whileLoop,"[10, 12, 15, 50, 55, 90, 200, 400]",407,8,407,8,7,7,
25,returnMiss,"[10, 12, 15, 50, 55, 90, 200, 400]",407,8,407,8,7,7,NOT_FOUND
