Step,StepId,Array,Key,n,key,bound,low,mid,high,result
1,mainCall,"[2, 5, 8, 10, 40, 42, 45, 80, 85, 90, 150, 160, 170, 300, 310, 500]",500,16,500,,,,,
2,checkFirst,"[2, 5, 8, 10, 40, 42, 45, 80, 85, 90, 150, 160, 170, 300, 310, 500]",500,16,500,,,,,
3,setBound,"[2, 5, 8, 10, 40, 42, 45, 80, 85, 90, 150, 160, 170, 300, 310, 500]",500,16,500,1,,,,
4,whileExp,"[2, 5, 8, 10, 40, 42, 45, 80, 85, 90, 150, 160, 170, 300, 310, 500]",500,16,500,1,,,,
5,doubleBound,"[2, 5, 8, 10, 40, 42, 45, 80, 85, 90, 150, 160, 170, 300, 310, 500]",500,16,500,2,,,,
6,whileExp,"[2, 5, 8, 10, 40, 42, 45, 80, 85, 90, 150, 160, 170, 300, 310, 500]",500,16,500,2,,,,
7,doubleBound,"[2, 5, 8, 10, 40, 42, 45, 80, 85, 90, 150, 160, 170, 300, 310, 500]",500,16,500,4,,,,
8,whileExp,"[2, 5, 8, 10, 40, 42, 45, 80, 85, 90, 150, 160, 170, 300, 310, 500]",500,16,500,4,,,,
9,doubleBound,"[2, 5, 8, 10, 40, 42, 45, 80, 85, 90, 150, 160, 170, 300, 310, 500]",500,16,500,8,,,,
10,whileExp,"[2, 5, 8, 10, 40, 42, 45, 80, 85, 90, 150, 160, 170, 300, 310, 500]",500,16,500,8,,,,
11,doubleBound,"[2, 5, 8, 10, 40, 42, 45, 80, 85, 90, 150, 160, 170, 300, 310, 500]",500,16,500,16,,,,
12,whileExp,"[2, 5, 8, 10, 40, 42, 45, 80, 85, 90, 150, 160, 170, 300, 310, 500]",500,16,500,16,,,,
13,setLow,"[2, 5, 8, 10, 40, 42, 45, 80, 85, 90, 150, 160, 170, 300, 310, 500]",500,16,500,16,8,,,
14,setHigh,"[2, 5, 8, 10, 40, 42, 45, 80, 85, 90, 150, 160, 170, 300, 310, 500]",500,16,500,16,8,,15,
15,whileLoop,"[2, 5, 8, 10, 40, 42, 45, 80, 85, 90, 150, 160, 170, 300, 310, 500]",500,16,500,16,8,,15,
16,setMid,"[2, 5, 8, 10, 40, 42, 45, 80, 85, 90, 150, 160, 170, 300, 310, 500]",500,16,500,16,8,11,15,
17,checkEqual,"[2, 5, 8, 10, 40, 42, 45, 80, 85, 90, 150, 160, 170, 300, 310, 500]",500,16,500,16,8,11,15,
18,checkLess,"[2, 5, 8, 10, 40, 42, 45, 80, 85, 90, 150, 160, 170, 300, 310, 500]",500,16,500,16,8,11,15,
19,updateLow,"[2, 5, 8, 10, 40, 42, 45, 80, 85, 90, 150, 160, 170, 300, 310, 500]",500,16,500,16,12,11,15,
20,whileLoop,"[2, 5, 8, 10, 40, 42, 45, 80, 85, 90, 150, 160, 170, 300, 310, 500]",500,16,500,16,12,11,15,
21,setMid,"[2, 5, 8, 10, 40, 42, 45, 80, 85, 90, 150, 160, 170, 300, 310, 500]",500,16,500,16,12,13,15,
22,checkEqual,"[2, 5, 8, 10, 40, 42, 45, 80, 85, 90, 150, 160, 170, 300, 310, 500]",500,16,500,16,12,13,15,
23,checkLess,"[2, 5, 8, 10, 40, 42, 45, 80, 85, 90, 150, 160, 170, 300, 310, 500]",500,16,500,16,12,13,15,
24,updateLow,"[2, 5, 8, 10, 40, 42, 45, 80, 85, 90, 150, 160, 170, 300, 310, 500]",500,16,500,16,14,13,15,
25,whileLoop,"[2, 5, 8, 10, 40, 42, 45, 80, 85, 90, 150, 160, 170, 300, 310, 500]",500,16,500,16,14,13,15,
26,setMid,"[2, 5, 8, 10, 40, 42, 45, 80, 85, 90, 150, 160, 170, 300, 310, 500]",500,16,500,16,14,14,15,
27,checkEqual,"[2, 5, 8, 10, 40, 42, 45, 80, 85, 90, 150, 160, 170, 300, 310, 500]",500,16,500,16,14,14,15,
28,checkLess,"[2, 5, 8, 10, 40, 42, 45, 80, 85, 90, 150, 160, 170, 300, 310, 500]",500,16,500,16,14,14,15,
29,updateLow,"[2, 5, 8, 10, 40, 42, 45, 80, 85, 90, 150, 160, 170, 300, 310, 500]",500,16,500,16,15,14,15,
30,whileLoop,"[2, 5, 8, 10, 40, 42, 45, 80, 85, 90, 150, 160, 170, 300, 310, 500]",500,16,500,16,15,14,15,
31,setMid,"[2, 5, 8, 10, 40, 42, 45, 80, 85, 90, 150, 160, 170, 300, 310, 500]",500,16,500,16,15,15,15,
32,checkEqual,"[2, 5, 8, 10, 40, 42, 45, 80, 85, 90, 150, 160, 170, 300, 310, 500]",500,16,500,16,15,15,15,
33,returnFound,"[2, 5, 8, 10, 40, 42, 45, 80, 85, 90, 150, 160, 170, 300, 310, 500]",500,16,500,16,15,15,15,15
