Step,StepId,Array,Key,n,key,fibM,fibMMm1,fibMMm2,offset,i,result
1,mainCall,"[2, 5, 8, 10, 40, 42, 45, 80, 85, 90, 150, 160, 170, 300, 310, 500]",507,16,507,,,,,,
2,setFibMMm2,"[2, 5, 8, 10, 40, 42, 45, 80, 85, 90, 150, 160, 170, 300, 310, 500]",507,16,507,,,0,,,
3,setFibMMm1,"[2, 5, 8, 10, 40, 42, 45, 80, 85, 90, 150, 160, 170, 300, 310, 500]",507,16,507,,1,0,,,
4,setFibM,"[2, 5, 8, 10, 40, 42, 45, 80, 85, 90, 150, 160, 170, 300, 310, 500]",507,16,507,1,1,0,,,
5,whileFibGrow,"[2, 5, 8, 10, 40, 42, 45, 80, 85, 90, 150, 160, 170, 300, 310, 500]",507,16,507,1,1,0,,,
6,growFibMMm2,"[2, 5, 8, 10, 40, 42, 45, 80, 85, 90, 150, 160, 170, 300, 310, 500]",507,16,507,1,1,1,,,
7,growFibMMm1,"[2, 5, 8, 10, 40, 42, 45, 80, 85, 90, 150, 160, 170, 300, 310, 500]",507,16,507,1,1,1,,,
8,growFibM,"[2, 5, 8, 10, 40, 42, 45, 80, 85, 90, 150, 160, 170, 300, 310, 500]",507,16,507,2,1,1,,,
9,whileFibGrow,"[2, 5, 8, 10, 40, 42, 45, 80, 85, 90, 150, 160, 170, 300, 310, 500]",507,16,507,2,1,1,,,
10,growFibMMm2,"[2, 5, 8, 10, 40, 42, 45, 80, 85, 90, 150, 160, 170, 300, 310, 500]",507,16,507,2,1,1,,,
11,growFibMMm1,"[2, 5, 8, 10, 40, 42, 45, 80, 85, 90, 150, 160, 170, 300, 310, 500]",507,16,507,2,2,1,,,
12,growFibM,"[2, 5, 8, 10, 40, 42, 45, 80, 85, 90, 150, 160, 170, 300, 310, 500]",507,16,507,3,2,1,,,
13,whileFibGrow,"[2, 5, 8, 10, 40, 42, 45, 80, 85, 90, 150, 160, 170, 300, 310, 500]",507,16,507,3,2,1,,,
14,growFibMMm2,"[2, 5, 8, 10, 40, 42, 45, 80, 85, 90, 150, 160, 170, 300, 310, 500]",507,16,507,3,2,2,,,
15,growFibMMm1,"[2, 5, 8, 10, 40, 42, 45, 80, 85, 90, 150, 160, 170, 300, 310, 500]",507,16,507,3,3,2,,,
16,growFibM,"[2, 5, 8, 10, 40, 42, 45, 80, 85, 90, 150, 160, 170, 300, 310, 500]",507,16,507,5,3,2,,,
17,whileFibGrow,"[2, 5, 8, 10, 40, 42, 45, 80, 85, 90, 150, 160, 170, 300, 310, 500]",507,16,507,5,3,2,,,
18,growFibMMm2,"[2, 5, 8, 10, 40, 42, 45, 80, 85, 90, 150, 160, 170, 300, 310, 500]",507,16,507,5,3,3,,,
19,growFibMMm1,"[2, 5, 8, 10, 40, 42, 45, 80, 85, 90, 150, 160, 170, 300, 310, 500]",507,16,507,5,5,3,,,
20,growFibM,"[2, 5, 8, 10, 40, 42, 45, 80, 85, 90, 150, 160, 170, 300, 310, 500]",507,16,507,8,5,3,,,
21,whileFibGrow,"[2, 5, 8, 10, 40, 42, 45, 80, 85, 90, 150, 160, 170, 300, 310, 500]",507,16,507,8,5,3,,,
22,growFibMMm2,"[2, 5, 8, 10, 40, 42, 45, 80, 85, 90, 150, 160, 170, 300, 310, 500]",507,16,507,8,5,5,,,
23,growFibMMm1,"[2, 5, 8, 10, 40, 42, 45, 80, 85, 90, 150, 160, 170, 300, 310, 500]",507,16,507,8,8,5,,,
24,growFibM,"[2, 5, 8, 10, 40, 42, 45, 80, 85, 90, 150, 160, 170, 300, 310, 500]",507,16,507,13,8,5,,,
25,whileFibGrow,"[2, 5, 8, 10, 40, 42, 45, 80, 85, 90, 150, 160, 170, 300, 310, 500]",507,16,507,13,8,5,,,
26,growFibMMm2,"[2, 5, 8, 10, 40, 42, 45, 80, 85, 90, 150, 160, 170, 300, 310, 500]",507,16,507,13,8,8,,,
27,growFibMMm1,"[2, 5, 8, 10, 40, 42, 45, 80, 85, 90, 150, 160, 170, 300, 310, 500]",507,16,507,13,13,8,,,
28,growFibM,"[2, 5, 8, 10, 40, 42, 45, 80, 85, 90, 150, 160, 170, 300, 310, 500]",507,16,507,21,13,8,,,
