Step,StepId,Array,Key,n,key,step_length,step,step_or_n,prev,result
1,mainCall,"[2, 5, 8, 10, 40, 42, 45, 80, 85, 90, 150, 160, 170, 300, 310, 500]",507,16,507,,,,,
2,setStepLength,"[2, 5, 8, 10, 40, 42, 45, 80, 85, 90, 150, 160, 170, 300, 310, 500]",507,16,507,4,,,,
3,setStep,"[2, 5, 8, 10, 40, 42, 45, 80, 85, 90, 150, 160, 170, 300, 310, 500]",507,16,507,4,4,,,
4,setPrev,"[2, 5, 8, 10, 40, 42, 45, 80, 85, 90, 150, 160, 170, 300, 310, 500]",507,16,507,4,4,,0,
5,setStepOrN,"[2, 5, 8, 10, 40, 42, 45, 80, 85, 90, 150, 160, 170, 300, 310, 500]",507,16,507,4,4,4,0,
6,whileJump,"[2, 5, 8, 10, 40, 42, 45, 80, 85, 90, 150, 160, 170, 300, 310, 500]",507,16,507,4,4,4,0,
7,updatePrev,"[2, 5, 8, 10, 40, 42, 45, 80, 85, 90, 150, 160, 170, 300, 310, 500]",507,16,507,4,4,4,4,
8,updateStep,"[2, 5, 8, 10, 40, 42, 45, 80, 85, 90, 150, 160, 170, 300, 310, 500]",507,16,507,4,8,4,4,
9,checkPrevGeN,"[2, 5, 8, 10, 40, 42, 45, 80, 85, 90, 150, 160, 170, 300, 310, 500]",507,16,507,4,8,4,4,
10,updateStepOrN,"[2, 5, 8, 10, 40, 42, 45, 80, 85, 90, 150, 160, 170, 300, 310, 500]",507,16,507,4,8,8,4,
11,whileJump,"[2, 5, 8, 10, 40, 42, 45, 80, 85, 90, 150, 160, 170, 300, 310, 500]",507,16,507,4,8,8,4,
12,updatePrev,"[2, 5, 8, 10, 40, 42, 45, 80, 85, 90, 150, 160, 170, 300, 310, 500]",507,16,507,4,8,8,8,
13,updateStep,"[2, 5, 8, 10, 40, 42, 45, 80, 85, 90, 150, 160, 170, 300, 310, 500]",507,16,507,4,12,8,8,
14,checkPrevGeN,"[2, 5, 8, 10, 40, 42, 45, 80, 85, 90, 150, 160, 170, 300, 310, 500]",507,16,507,4,12,8,8,
15,updateStepOrN,"[2, 5, 8, 10, 40, 42, 45, 80, 85, 90, 150, 160, 170, 300, 310, 500]",507,16,507,4,12,12,8,
16,whileJump,"[2, 5, 8, 10, 40, 42, 45, 80, 85, 90, 150, 160, 170, 300, 310, 500]",507,16,507,4,12,12,8,
17,updatePrev,"[2, 5, 8, 10, 40, 42, 45, 80, 85, 90, 150, 160, 170, 300, 310, 500]",507,16,507,4,12,12,12,
18,updateStep,"[2, 5, 8, 10, 40, 42, 45, 80, 85, 90, 150, 160, 170, 300, 310, 500]",507,16,507,4,16,12,12,
19,checkPrevGeN,"[2, 5, 8, 10, 40, 42, 45, 80, 85, 90, 150, 160, 170, 300, 310, 500]",507,16,507,4,16,12,12,
20,updateStepOrN,"[2, 5, 8, 10, 40, 42, 45, 80, 85, 90, 150, 160, 170, 300, 310, 500]",507,16,507,4,16,16,12,
21,whileJump,"[2, 5, 8, 10, 40, 42, 45, 80, 85, 90, 150, 160, 170, 300, 310, 500]",507,16,507,4,16,16,12,
22,updatePrev,"[2, 5, 8, 10, 40, 42, 45, 80, 85, 90, 150, 160, 170, 300, 310, 500]",507,16,507,4,16,16,16,
23,updateStep,"[2, 5, 8, 10, 40, 42, 45, 80, 85, 90, 150, 160, 170, 300, 310, 500]",507,16,507,4,20,16,16,
24,checkPrevGeN,"[2, 5, 8, 10, 40, 42, 45, 80, 85, 90, 150, 160, 170, 300, 310, 500]",507,16,507,4,20,16,16,
25,returnMissJump,"[2, 5, 8, 10, 40, 42, 45, 80, 85, 90, 150, 160, 170, 300, 310, 500]",507,16,507,4,20,16,16,NOT_FOUND
