Step,StepId,Array,Key,n,key,bound,low,mid,high,result
1,mainCall,"[10, 12, 15, 50, 55, 90, 200, 400]",400,8,400,,,,,
2,checkFirst,"[10, 12, 15, 50, 55, 90, 200, 400]",400,8,400,,,,,
3,setBound,"[10, 12, 15, 50, 55, 90, 200, 400]",400,8,400,1,,,,
4,whileExp,"[10, 12, 15, 50, 55, 90, 200, 400]",400,8,400,1,,,,
5,doubleBound,"[10, 12, 15, 50, 55, 90, 200, 400]",400,8,400,2,,,,
6,whileExp,"[10, 12, 15, 50, 55, 90, 200, 400]",400,8,400,2,,,,
7,doubleBound,"[10, 12, 15, 50, 55, 90, 200, 400]",400,8,400,4,,,,
8,whileExp,"[10, 12, 15, 50, 55, 90, 200, 400]",400,8,400,4,,,,
9,doubleBound,"[10, 12, 15, 50, 55, 90, 200, 400]",400,8,400,8,,,,
10,whileExp,"[10, 12, 15, 50, 55, 90, 200, 400]",400,8,400,8,,,,
11,setLow,"[10, 12, 15, 50, 55, 90, 200, 400]",400,8,400,8,4,,,
12,setHigh,"[10, 12, 15, 50, 55, 90, 200, 400]",400,8,400,8,4,,7,
13,whileLoop,"[10, 12, 15, 50, 55, 90, 200, 400]",400,8,400,8,4,,7,
14,setMid,"[10, 12, 15, 50, 55, 90, 200, 400]",400,8,400,8,4,5,7,
15,checkEqual,"[10, 12, 15, 50, 55, 90, 200, 400]",400,8,400,8,4,5,7,
16,checkLess,"[10, 12, 15, 50, 55, 90, 200, 400]",400,8,400,8,4,5,7,
17,updateLow,"[10, 12, 15, 50, 55, 90, 200, 400]",400,8,400,8,6,5,7,
18,whileLoop,"[10, 12, 15, 50, 55, 90, 200, 400]",400,8,400,8,6,5,7,
19,setMid,"[10, 12, 15, 50, 55, 90, 200, 400]",400,8,400,8,6,6,7,
20,checkEqual,"[10, 12, 15, 50, 55, 90, 200, 400]",400,8,400,8,6,6,7,
21,checkLess,"[10, 12, 15, 50, 55, 90, 200, 400]",400,8,400,8,6,6,7,
22,updateLow,"[10, 12, 15, 50, 55, 90, 200, 400]",400,8,400,8,7,6,7,
23,whileLoop,"[10, 12, 15, 50, 55, 90, 200, 400]",400,8,400,8,7,6,7,
24,setMid,"[10, 12, 15, 50, 55, 90, 200, 400]",400,8,400,8,7,7,7,
25,checkEqual,"[10, 12, 15, 50, 55, 90, 200, 400]",400,8,400,8,7,7,7,
26,returnFound,"[10, 12, 15, 50, 55, 90, 200, 400]",400,8,400,8,7,7,7,7
