Step,StepId,Array,Key,n,key,i,result
1,mainCall,"[30, 100, 20, 110, 80, 50, 40, 10, 60, 70, 120, 90]",40,12,40,,
2,setI,"[30, 100, 20, 110, 80, 50, 40, 10, 60, 70, 120, 90]",40,12,40,0,
3,whileLoop,"[30, 100, 20, 110, 80, 50, 40, 10, 60, 70, 120, 90]",40,12,40,0,
4,checkEqual,"[30, 100, 20, 110, 80, 50, 40, 10, 60, 70, 120, 90]",40,12,40,0,
5,incI,"[30, 100, 20, 110, 80, 50, 40, 10, 60, 70, 120, 90]",40,12,40,1,
6,whileLoop,"[30, 100, 20, 110, 80, 50, 40, 10, 60, 70, 120, 90]",40,12,40,1,
7,checkEqual,"[30, 100, 20, 110, 80, 50, 40, 10, 60, 70, 120, 90]",40,12,40,1,
8,incI,"[30, 100, 20, 110, 80, 50, 40, 10, 60, 70, 120, 90]",40,12,40,2,
9,whileLoop,"[30, 100, 20, 110, 80, 50, 40, 10, 60, 70, 120, 90]",40,12,40,2,
10,checkEqual,"[30, 100, 20, 110, 80, 50, 40, 10, 60, 70, 120, 90]",40,12,40,2,
11,incI,"[30, 100, 20, 110, 80, 50, 40, 10, 60, 70, 120, 90]",40,12,40,3,
12,whileLoop,"[30, 100, 20, 110, 80, 50, 40, 10, 60, 70, 120, 90]",40,12,40,3,
13,checkEqual,"[30, 100, 20, 110, 80, 50, 40, 10, 60, 70, 120, 90]",40,12,40,3,
14,incI,"[30, 100, 20, 110, 80, 50, 40, 10, 60, 70, 120, 90]",40,12,40,4,
15,whileLoop,"[30, 100, 20, 110, 80, 50, 40, 10, 60, 70, 120, 90]",40,12,40,4,
16,checkEqual,"[30, 100, 20, 110, 80, 50, 40, 10, 60, 70, 120, 90]",40,12,40,4,
17,incI,"[30, 100, 20, 110, 80, 50, 40, 10, 60, 70, 120, 90]",40,12,40,5,
18,whileLoop,"[30, 100, 20, 110, 80, 50, 40, 10, 60, 70, 120, 90]",40,12,40,5,
19,checkEqual,"[30, 100, 20, 110, 80, 50, 40, 10, 60, 70, 120, 90]",40,12,40,5,
20,incI,"[30, 100, 20, 110, 80, 50, 40, 10, 60, 70, 120, 90]",40,12,40,6,
21,whileLoop,"[30, 100, 20, 110, 80, 50, 40, 10, 60, 70, 120, 90]",40,12,40,6,
22,checkEqual,"[30, 100, 20, 110, 80, 50, 40, 10, 60, 70, 120, 90]",40,12,40,6,
23,returnFound,"[30, 100, 20, 110, 80, 50, 40, 10, 60, 70, 120, 90]",40,12,40,6,6
