Step,StepId,Array,Key,n,key,i,result
1,mainCall,"[30, 100, 20, 110, 80, 50, 40, 10, 60, 70, 120, 90]",121,12,121,,
2,setI,"[30, 100, 20, 110, 80, 50, 40, 10, 60, 70, 120, 90]",121,12,121,0,
3,whileLoop,"[30, 100, 20, 110, 80, 50, 40, 10, 60, 70, 120, 90]",121,12,121,0,
4,checkEqual,"[30, 100, 20, 110, 80, 50, 40, 10, 60, 70, 120, 90]",121,12,121,0,
5,incI,"[30, 100, 20, 110, 80, 50, 40, 10, 60, 70, 120, 90]",121,12,121,1,
6,whileLoop,"[30, 100, 20, 110, 80, 50, 40, 10, 60, 70, 120, 90]",121,12,121,1,
7,checkEqual,"[30, 100, 20, 110, 80, 50, 40, 10, 60, 70, 120, 90]",121,12,121,1,
8,incI,"[30, 100, 20, 110, 80, 50, 40, 10, 60, 70, 120, 90]",121,12,121,2,
9,whileLoop,"[30, 100, 20, 110, 80, 50, 40, 10, 60, 70, 120, 90]",121,12,121,2,
10,checkEqual,"[30, 100, 20, 110, 80, 50, 40, 10, 60, 70, 120, 90]",121,12,121,2,
11,incI,"[30, 100, 20, 110, 80, 50, 40, 10, 60, 70, 120, 90]",121,12,121,3,
12,whileLoop,"[30, 100, 20, 110, 80, 50, 40, 10, 60, 70, 120, 90]",121,12,121,3,
13,checkEqual,"[30, 100, 20, 110, 80, 50, 40, 10, 60, 70, 120, 90]",121,12,121,3,
14,incI,"[30, 100, 20, 110, 80, 50, 40, 10, 60, 70, 120, 90]",121,12,121,4,
15,whileLoop,"[30, 100, 20, 110, 80, 50, 40, 10, 60, 70, 120, 90]",121,12,121,4,
16,checkEqual,"[30, 100, 20, 110, 80, 50, 40, 10, 60, 70, 120, 90]",121,12,121,4,
17,incI,"[30, 100, 20, 110, 80, 50, 40, 10, 60, 70, 120, 90]",121,12,121,5,
18,whileLoop,"[30, 100, 20, 110, 80, 50, 40, 10, 60, 70, 120, 90]",121,12,121,5,
19,checkEqual,"[30, 100, 20, 110, 80, 50, 40, 10, 60, 70, 120, 90]",121,12,121,5,
20,incI,"[30, 100, 20, 110, 80, 50, 40, 10, 60, 70, 120, 90]",121,12,121,6,
21,whileLoop,"[30, 100, 20, 110, 80, 50, 40, 10, 60, 70, 120, 90]",121,12,121,6,
22,checkEqual,"[30, 100, 20, 110, 80, 50, 40, 10, 60, 70, 120, 90]",121,12,121,6,
23,incI,"[30, 100, 20, 110, 80, 50, 40, 10, 60, 70, 120, 90]",121,12,121,7,
24,whileLoop,"[30, 100, 20, 110, 80, 50, 40, 10, 60, 70, 120, 90]",121,12,121,7,
25,checkEqual,"[30, 100, 20, 110, 80, 50, 40, 10, 60, 70, 120, 90]",121,12,121,7,
26,incI,"[30, 100, 20, 110, 80, 50, 40, 10, 60, 70, 120, 90]",121,12,121,8,
27,whileLoop,"[30, 100, 20, 110, 80, 50, 40, 10, 60, 70, 120, 90]",121,12,121,8,
28,checkEqual,"[30, 100, 20, 110, 80, 50, 40, 10, 60, 70, 120, 90]",121,12,121,8,
29,incI,"[30, 100, 20, 110, 80, 50, 40, 10, 60, 70, 120, 90]",121,12,121,9,
30,whileLoop,"[30, 100, 20, 110, 80, 50, 40, 10, 60, 70, 120, 90]",121,12,121,9,
31,checkEqual,"[30, 100, 20, 110, 80, 50, 40, 10, 60, 70, 120, 90]",121,12,121,9,
32,incI,"[30, 100, 20, 110, 80, 50, 40, 10, 60, 70, 120, 90]",121,12,121,10,
33,whileLoop,"[30, 100, 20, 110, 80, 50, 40, 10, 60, 70, 120, 90]",121,12,121,10,
34,checkEqual,"[30, 100, 20, 110, 80, 50, 40, 10, 60, 70, 120, 90]",121,12,121,10,
35,incI,"[30, 100, 20, 110, 80, 50, 40, 10, 60, 70, 120, 90]",121,12,121,11,
36,whileLoop,"[30, 100, 20, 110, 80, 50, 40, 10, 60, 70, 120, 90]",121,12,121,11,
37,checkEqual,"[30, 100, 20, 110, 80, 50, 40, 10, 60, 70, 120, 90]",121,12,121,11,
38,incI,"[30, 100, 20, 110, 80, 50, 40, 10, 60, 70, 120, 90]",121,12,121,12,
39,whileLoop,"[30, 100, 20, 110, 80, 50, 40, 10, 60, 70, 120, 90]",121,12,121,12,
40,returnMiss,"[30, 100, 20, 110, 80, 50, 40, 10, 60, 70, 120, 90]",121,12,121,12,NOT_FOUND
