Step,StepId,Array,Key,n,key,low,pos,high,result
1,mainCall,"[5, 8, 10, 40, 45, 50, 90, 100, 110, 200, 220, 400]",50,12,50,,,,
2,setLow,"[5, 8, 10, 40, 45, 50, 90, 100, 110, 200, 220, 400]",50,12,50,0,,,
3,setHigh,"[5, 8, 10, 40, 45, 50, 90, 100, 110, 200, 220, 400]",50,12,50,0,,11,
4,whileLoop,"[5, 8, 10, 40, 45, 50, 90, 100, 110, 200, 220, 400]",50,12,50,0,,11,
5,setPos,"[5, 8, 10, 40, 45, 50, 90, 100, 110, 200, 220, 400]",50,12,50,0,1,11,
6,checkEqual,"[5, 8, 10, 40, 45, 50, 90, 100, 110, 200, 220, 400]",50,12,50,0,1,11,
7,checkLess,"[5, 8, 10, 40, 45, 50, 90, 100, 110, 200, 220, 400]",50,12,50,0,1,11,
8,updateLow,"[5, 8, 10, 40, 45, 50, 90, 100, 110, 200, 220, 400]",50,12,50,2,1,11,
9,whileLoop,"[5, 8, 10, 40, 45, 50, 90, 100, 110, 200, 220, 400]",50,12,50,2,1,11,
10,setPos,"[5, 8, 10, 40, 45, 50, 90, 100, 110, 200, 220, 400]",50,12,50,2,2,11,
11,checkEqual,"[5, 8, 10, 40, 45, 50, 90, 100, 110, 200, 220, 400]",50,12,50,2,2,11,
12,checkLess,"[5, 8, 10, 40, 45, 50, 90, 100, 110, 200, 220, 400]",50,12,50,2,2,11,
13,updateLow,"[5, 8, 10, 40, 45, 50, 90, 100, 110, 200, 220, 400]",50,12,50,3,2,11,
14,whileLoop,"[5, 8, 10, 40, 45, 50, 90, 100, 110, 200, 220, 400]",50,12,50,3,2,11,
15,setPos,"[5, 8, 10, 40, 45, 50, 90, 100, 110, 200, 220, 400]",50,12,50,3,3,11,
16,checkEqual,"[5, 8, 10, 40, 45, 50, 90, 100, 110, 200, 220, 400]",50,12,50,3,3,11,
17,checkLess,"[5, 8, 10, 40, 45, 50, 90, 100, 110, 200, 220, 400]",50,12,50,3,3,11,
18,updateLow,"[5, 8, 10, 40, 45, 50, 90, 100, 110, 200, 220, 400]",50,12,50,4,3,11,
19,whileLoop,"[5, 8, 10, 40, 45, 50, 90, 100, 110, 200, 220, 400]",50,12,50,4,3,11,
20,setPos,"[5, 8, 10, 40, 45, 50, 90, 100, 110, 200, 220, 400]",50,12,50,4,4,11,
21,checkEqual,"[5, 8, 10, 40, 45, 50, 90, 100, 110, 200, 220, 400]",50,12,50,4,4,11,
22,checkLess,"[5, 8, 10, 40, 45, 50, 90, 100, 110, 200, 220, 400]",50,12,50,4,4,11,
23,updateLow,"[5, 8, 10, 40, 45, 50, 90, 100, 110, 200, 220, 400]",50,12,50,5,4,11,
24,whileLoop,"[5, 8, 10, 40, 45, 50, 90, 100, 110, 200, 220, 400]",50,12,50,5,4,11,
25,setPos,"[5, 8, 10, 40, 45, 50, 90, 100, 110, 200, 220, 400]",50,12,50,5,5,11,
26,checkEqual,"[5, 8, 10, 40, 45, 50, 90, 100, 110, 200, 220, 400]",50,12,50,5,5,11,
27,returnFound,"[5, 8, 10, 40, 45, 50, 90, 100, 110, 200, 220, 400]",50,12,50,5,5,11,5
