Step,StepId,Array,Key,n,key,i,result
1,mainCall,"[150, 140, 120, 80, 40, 30, 20, 90, 100, 160, 60, 50, 70, 110, 130, 10]",100,16,100,,
2,setI,"[150, 140, 120, 80, 40, 30, 20, 90, 100, 160, 60, 50, 70, 110, 130, 10]",100,16,100,0,
3,whileLoop,"[150, 140, 120, 80, 40, 30, 20, 90, 100, 160, 60, 50, 70, 110, 130, 10]",100,16,100,0,
4,checkEqual,"[150, 140, 120, 80, 40, 30, 20, 90, 100, 160, 60, 50, 70, 110, 130, 10]",100,16,100,0,
5,incI,"[150, 140, 120, 80, 40, 30, 20, 90, 100, 160, 60, 50, 70, 110, 130, 10]",100,16,100,1,
6,whileLoop,"[150, 140, 120, 80, 40, 30, 20, 90, 100, 160, 60, 50, 70, 110, 130, 10]",100,16,100,1,
7,checkEqual,"[150, 140, 120, 80, 40, 30, 20, 90, 100, 160, 60, 50, 70, 110, 130, 10]",100,16,100,1,
8,incI,"[150, 140, 120, 80, 40, 30, 20, 90, 100, 160, 60, 50, 70, 110, 130, 10]",100,16,100,2,
9,whileLoop,"[150, 140, 120, 80, 40, 30, 20, 90, 100, 160, 60, 50, 70, 110, 130, 10]",100,16,100,2,
10,checkEqual,"[150, 140, 120, 80, 40, 30, 20, 90, 100, 160, 60, 50, 70, 110, 130, 10]",100,16,100,2,
11,incI,"[150, 140, 120, 80, 40, 30, 20, 90, 100, 160, 60, 50, 70, 110, 130, 10]",100,16,100,3,
12,whileLoop,"[150, 140, 120, 80, 40, 30, 20, 90, 100, 160, 60, 50, 70, 110, 130, 10]",100,16,100,3,
13,checkEqual,"[150, 140, 120, 80, 40, 30, 20, 90, 100, 160, 60, 50, 70, 110, 130, 10]",100,16,100,3,
14,incI,"[150, 140, 120, 80, 40, 30, 20, 90, 100, 160, 60, 50, 70, 110, 130, 10]",100,16,100,4,
15,whileLoop,"[150, 140, 120, 80, 40, 30, 20, 90, 100, 160, 60, 50, 70, 110, 130, 10]",100,16,100,4,
16,checkEqual,"[150, 140, 120, 80, 40, 30, 20, 90, 100, 160, 60, 50, 70, 110, 130, 10]",100,16,100,4,
17,incI,"[150, 140, 120, 80, 40, 30, 20, 90, 100, 160, 60, 50, 70, 110, 130, 10]",100,16,100,5,
18,whileLoop,"[150, 140, 120, 80, 40, 30, 20, 90, 100, 160, 60, 50, 70, 110, 130, 10]",100,16,100,5,
19,checkEqual,"[150, 140, 120, 80, 40, 30, 20, 90, 100, 160, 60, 50, 70, 110, 130, 10]",100,16,100,5,
20,incI,"[150, 140, 120, 80, 40, 30, 20, 90, 100, 160, 60, 50, 70, 110, 130, 10]",100,16,100,6,
21,whileLoop,"[150, 140, 120, 80, 40, 30, 20, 90, 100, 160, 60, 50, 70, 110, 130, 10]",100,16,100,6,
22,checkEqual,"[150, 140, 120, 80, 40, 30, 20, 90, 100, 160, 60, 50, 70, 110, 130, 10]",100,16,100,6,
23,incI,"[150, 140, 120, 80, 40, 30, 20, 90, 100, 160, 60, 50, 70, 110, 130, 10]",100,16,100,7,
24,whileLoop,"[150, 140, 120, 80, 40, 30, 20, 90, 100, 160, 60, 50, 70, 110, 130, 10]",100,16,100,7,
25,checkEqual,"[150, 140, 120, 80, 40, 30, 20, 90, 100, 160, 60, 50, 70, 110, 130, 10]",100,16,100,7,
26,incI,"[150, 140, 120, 80, 40, 30, 20, 90, 100, 160, 60, 50, 70, 110, 130, 10]",100,16,100,8,
27,whileLoop,"[150, 140, 120, 80, 40, 30, 20, 90, 100, 160, 60, 50, 70, 110, 130, 10]",100,16,100,8,
28,checkEqual,"[150, 140, 120, 80, 40, 30, 20, 90, 100, 160, 60, 50, 70, 110, 130, 10]",100,16,100,8,
29,returnFound,"[150, 140, 120, 80, 40, 30, 20, 90, 100, 160, 60, 50, 70, 110, 130, 10]",100,16,100,8,8
