Step,StepId,Array,Key,n,key,step_length,step,step_or_n,prev,result
1,mainCall,"[10, 12, 15, 50, 55, 90, 200, 400]",12,8,12,,,,,
2,setStepLength,"[10, 12, 15, 50, 55, 90, 200, 400]",12,8,12,2,,,,
3,setStep,"[10, 12, 15, 50, 55, 90, 200, 400]",12,8,12,2,2,,,
4,setPrev,"[10, 12, 15, 50, 55, 90, 200, 400]",12,8,12,2,2,,0,
5,setStepOrN,"[10, 12, 15, 50, 55, 90, 200, 400]",12,8,12,2,2,2,0,
6,whileJump,"[10, 12, 15, 50, 55, 90, 200, 400]",12,8,12,2,2,2,0,
7,whileLinear,"[10, 12, 15, 50, 55, 90, 200, 400]",12,8,12,2,2,2,0,
8,incPrev,"[10, 12, 15, 50, 55, 90, 200, 400]",12,8,12,2,2,2,1,
9,checkBound,"[10, 12, 15, 50, 55, 90, 200, 400]",12,8,12,2,2,2,1,
10,whileLinear,"[10, 12, 15, 50, 55, 90, 200, 400]",12,8,12,2,2,2,1,
11,checkEqual,"[10, 12, 15, 50, 55, 90, 200, 400]",12,8,12,2,2,2,1,
12,returnFound,"[10, 12, 15, 50, 55, 90, 200, 400]",12,8,12,2,2,2,1,1
