Step,StepId,Array,Key,n,key,low,pos,high,result
1,mainCall,"[10, 12, 15, 50, 55, 90, 200, 400]",15,8,15,,,,
2,setLow,"[10, 12, 15, 50, 55, 90, 200, 400]",15,8,15,0,,,
3,setHigh,"[10, 12, 15, 50, 55, 90, 200, 400]",15,8,15,0,,7,
4,whileLoop,"[10, 12, 15, 50, 55, 90, 200, 400]",15,8,15,0,,7,
5,setPos,"[10, 12, 15, 50, 55, 90, 200, 400]",15,8,15,0,0,7,
6,checkEqual,"[10, 12, 15, 50, 55, 90, 200, 400]",15,8,15,0,0,7,
7,checkLess,"[10, 12, 15, 50, 55, 90, 200, 400]",15,8,15,0,0,7,
8,updateLow,"[10, 12, 15, 50, 55, 90, 200, 400]",15,8,15,1,0,7,
9,whileLoop,"[10, 12, 15, 50, 55, 90, 200, 400]",15,8,15,1,0,7,
10,setPos,"[10, 12, 15, 50, 55, 90, 200, 400]",15,8,15,1,1,7,
11,checkEqual,"[10, 12, 15, 50, 55, 90, 200, 400]",15,8,15,1,1,7,
12,checkLess,"[10, 12, 15, 50, 55, 90, 200, 400]",15,8,15,1,1,7,
13,updateLow,"[10, 12, 15, 50, 55, 90, 200, 400]",15,8,15,2,1,7,
14,whileLoop,"[10, 12, 15, 50, 55, 90, 200, 400]",15,8,15,2,1,7,
15,setPos,"[10, 12, 15, 50, 55, 90, 200, 400]",15,8,15,2,2,7,
16,checkEqual,"[10, 12, 15, 50, 55, 90, 200, 400]",15,8,15,2,2,7,
17,returnFound,"[10, 12, 15, 50, 55, 90, 200, 400]",15,8,15,2,2,7,2
