Step,StepId,Array,Key,n,key,fibM,fibMMm1,fibMMm2,offset,i,result
1,mainCall,"[5, 8, 10, 40, 45, 50, 90, 100, 110, 200, 220, 400]",407,12,407,,,,,,
2,setFibMMm2,"[5, 8, 10, 40, 45, 50, 90, 100, 110, 200, 220, 400]",407,12,407,,,0,,,
3,setFibMMm1,"[5, 8, 10, 40, 45, 50, 90, 100, 110, 200, 220, 400]",407,12,407,,1,0,,,
4,setFibM,"[5, 8, 10, 40, 45, 50, 90, 100, 110, 200, 220, 400]",407,12,407,1,1,0,,,
5,whileFibGrow,"[5, 8, 10, 40, 45, 50, 90, 100, 110, 200, 220, 400]",407,12,407,1,1,0,,,
6,growFibMMm2,"[5, 8, 10, 40, 45, 50, 90, 100, 110, 200, 220, 400]",407,12,407,1,1,1,,,
7,growFibMMm1,"[5, 8, 10, 40, 45, 50, 90, 100, 110, 200, 220, 400]",407,12,407,1,1,1,,,
8,growFibM,"[5, 8, 10, 40, 45, 50, 90, 100, 110, 200, 220, 400]",407,12,407,2,1,1,,,
9,whileFibGrow,"[5, 8, 10, 40, 45, 50, 90, 100, 110, 200, 220, 400]",407,12,407,2,1,1,,,
10,growFibMMm2,"[5, 8, 10, 40, 45, 50, 90, 100, 110, 200, 220, 400]",407,12,407,2,1,1,,,
11,growFibMMm1,"[5, 8, 10, 40, 45, 50, 90, 100, 110, 200, 220, 400]",407,12,407,2,2,1,,,
12,growFibM,"[5, 8, 10, 40, 45, 50, 90, 100, 110, 200, 220, 400]",407,12,407,3,2,1,,,
13,whileFibGrow,"[5, 8, 10, 40, 45, 50, 90, 100, 110, 200, 220, 400]",407,12,407,3,2,1,,,
14,growFibMMm2,"[5, 8, 10, 40, 45, 50, 90, 100, 110, 200, 220, 400]",407,12,407,3,2,2,,,
15,growFibMMm1,"[5, 8, 10, 40, 45, 50, 90, 100, 110, 200, 220, 400]",407,12,407,3,3,2,,,
16,growFibM,"[5, 8, 10, 40, 45, 50, 90, 100, 110, 200, 220, 400]",407,12,407,5,3,2,,,
17,whileFibGrow,"[5, 8, 10, 40, 45, 50, 90, 100, 110, 200, 220, 400]",407,12,407,5,3,2,,,
18,growFibMMm2,"[5, 8, 10, 40, 45, 50, 90, 100, 110, 200, 220, 400]",407,12,407,5,3,3,,,
19,growFibMMm1,"[5, 8, 10, 40, 45, 50, 90, 100, 110, 200, 220, 400]",407,12,407,5,5,3,,,
20,growFibM,"[5, 8, 10, 40, 45, 50, 90, 100, 110, 200, 220, 400]",407,12,407,8,5,3,,,
