Step,StepId,Array,Key,n,key,i,result
1,mainCall,"[150, 140, 120, 80, 40, 30, 20, 90, 100, 160, 60, 50, 70, 110, 130, 10]",10,16,10,,
2,setI,"[150, 140, 120, 80, 40, 30, 20, 90, 100, 160, 60, 50, 70, 110, 130, 10]",10,16,10,0,
3,whileLoop,"[150, 140, 120, 80, 40, 30, 20, 90, 100, 160, 60, 50, 70, 110, 130, 10]",10,16,10,0,
4,checkEqual,"[150, 140, 120, 80, 40, 30, 20, 90, 100, 160, 60, 50, 70, 110, 130, 10]",10,16,10,0,
5,incI,"[150, 140, 120, 80, 40, 30, 20, 90, 100, 160, 60, 50, 70, 110, 130, 10]",10,16,10,1,
6,whileLoop,"[150, 140, 120, 80, 40, 30, 20, 90, 100, 160, 60, 50, 70, 110, 130, 10]",10,16,10,1,
7,checkEqual,"[150, 140, 120, 80, 40, 30, 20, 90, 100, 160, 60, 50, 70, 110, 130, 10]",10,16,10,1,
8,incI,"[150, 140, 120, 80, 40, 30, 20, 90, 100, 160, 60, 50, 70, 110, 130, 10]",10,16,10,2,
9,whileLoop,"[150, 140, 120, 80, 40, 30, 20, 90, 100, 160, 60, 50, 70, 110, 130, 10]",10,16,10,2,
10,checkEqual,"[150, 140, 120, 80, 40, 30, 20, 90, 100, 160, 60, 50, 70, 110, 130, 10]",10,16,10,2,
11,incI,"[150, 140, 120, 80, 40, 30, 20, 90, 100, 160, 60, 50, 70, 110, 130, 10]",10,16,10,3,
12,whileLoop,"[150, 140, 120, 80, 40, 30, 20, 90, 100, 160, 60, 50, 70, 110, 130, 10]",10,16,10,3,
13,checkEqual,"[150, 140, 120, 80, 40, 30, 20, 90, 100, 160, 60, 50, 70, 110, 130, 10]",10,16,10,3,
14,incI,"[150, 140, 120, 80, 40, 30, 20, 90, 100, 160, 60, 50, 70, 110, 130, 10]",10,16,10,4,
15,whileLoop,"[150, 140, 120, 80, 40, 30, 20, 90, 100, 160, 60, 50, 70, 110, 130, 10]",10,16,10,4,
16,checkEqual,"[150, 140, 120, 80, 40, 30, 20, 90, 100, 160, 60, 50, 70, 110, 130, 10]",10,16,10,4,
17,incI,"[150, 140, 120, 80, 40, 30, 20, 90, 100, 160, 60, 50, 70, 110, 130, 10]",10,16,10,5,
18,whileLoop,"[150, 140, 120, 80, 40, 30, 20, 90, 100, 160, 60, 50, 70, 110, 130, 10]",10,16,10,5,
19,checkEqual,"[150, 140, 120, 80, 40, 30, 20, 90, 100, 160, 60, 50, 70, 110, 130, 10]",10,16,10,5,
20,incI,"[150, 140, 120, 80, 40, 30, 20, 90, 100, 160, 60, 50, 70, 110, 130, 10]",10,16,10,6,
21,whileLoop,"[150, 140, 120, 80, 40, 30, 20, 90, 100, 160, 60, 50, 70, 110, 130, 10]",10,16,10,6,
22,checkEqual,"[150, 140, 120, 80, 40, 30, 20, 90, 100, 160, 60, 50, 70, 110, 130, 10]",10,16,10,6,
23,incI,"[150, 140, 120, 80, 40, 30, 20, 90, 100, 160, 60, 50, 70, 110, 130, 10]",10,16,10,7,
24,whileLoop,"[150, 140, 120, 80, 40, 30, 20, 90, 100, 160, 60, 50, 70, 110, 130, 10]",10,16,10,7,
25,checkEqual,"[150, 140, 120, 80, 40, 30, 20, 90, 100, 160, 60, 50, 70, 110, 130, 10]",10,16,10,7,
26,incI,"[150, 140, 120, 80, 40, 30, 20, 90, 100, 160, 60, 50, 70, 110, 130, 10]",10,16,10,8,
27,whileLoop,"[150, 140, 120, 80, 40, 30, 20, 90, 100, 160, 60, 50, 70, 110, 130, 10]",10,16,10,8,
28,checkEqual,"[150, 140, 120, 80, 40, 30, 20, 90, 100, 160, 60, 50, 70, 110, 130, 10]",10,16,10,8,
29,incI,"[150, 140, 120, 80, 40, 30, 20, 90, 100, 160, 60, 50, 70, 110, 130, 10]",10,16,10,9,
30,whileLoop,"[150, 140, 120, 80, 40, 30, 20, 90, 100, 160, 60, 50, 70, 110, 130, 10]",10,16,10,9,
31,checkEqual,"[150, 140, 120, 80, 40, 30, 20, 90, 100, 160, 60, 50, 70, 110, 130, 10]",10,16,10,9,
32,incI,"[150, 140, 120, 80, 40, 30, 20, 90, 100, 160, 60, 50, 70, 110, 130, 10]",10,16,10,10,
33,whileLoop,"[150, 140, 120, 80, 40, 30, 20, 90, 100, 160, 60, 50, 70, 110, 130, 10]",10,16,10,10,
34,checkEqual,"[150, 140, 120, 80, 40, 30, 20, 90, 100, 160, 60, 50, 70, 110, 130, 10]",10,16,10,10,
35,incI,"[150, 140, 120, 80, 40, 30, 20, 90, 100, 160, 60, 50, 70, 110, 130, 10]",10,16,10,11,
36,whileLoop,"[150, 140, 120, 80, 40, 30, 20, 90, 100, 160, 60, 50, 70, 110, 130, 10]",10,16,10,11,
37,checkEqual,"[150, 140, 120, 80, 40, 30, 20, 90, 100, 160, 60, 50, 70, 110, 130, 10]",10,16,10,11,
38,incI,"[150, 140, 120, 80, 40, 30, 20, 90, 100, 160, 60, 50, 70, 110, 130, 10]",10,16,10,12,
39,whileLoop,"[150, 140, 120, 80, 40, 30, 20, 90, 100, 160, 60, 50, 70, 110, 130, 10]",10,16,10,12,
40,checkEqual,"[150, 140, 120, 80, 40, 30, 20, 90, 100, 160, 60, 50, 70, 110, 130, 10]",10,16,10,12,
41,incI,"[150, 140, 120, 80, 40, 30, 20, 90, 100, 160, 60, 50, 70, 110, 130, 10]",10,16,10,13,
42,whileLoop,"[150, 140, 120, 80, 40, 30, 20, 90, 100, 160, 60, 50, 70, 110, 130, 10]",10,16,10,13,
43,checkEqual,"[150, 140, 120, 80, 40, 30, 20, 90, 100, 160, 60, 50, 70, 110, 130, 10]",10,16,10,13,
44,incI,"[150, 140, 120, 80, 40, 30, 20, 90, 100, 160, 60, 50, 70, 110, 130, 10]",10,16,10,14,
45,whileLoop,"[150, 140, 120, 80, 40, 30, 20, 90, 100, 160, 60, 50, 70, 110, 130, 10]",10,16,10,14,
46,checkEqual,"[150, 140, 120, 80, 40, 30, 20, 90, 100, 160, 60, 50, 70, 110, 130, 10]",10,16,10,14,
47,incI,"[150, 140, 120, 80, 40, 30, 20, 90, 100, 160, 60, 50, 70, 110, 130, 10]",10,16,10,15,
48,whileLoop,"[150, 140, 120, 80, 40, 30, 20, 90, 100, 160, 60, 50, 70, 110, 130, 10]",10,16,10,15,
49,checkEqual,"[150, 140, 120, 80, 40, 30, 20, 90, 100, 160, 60, 50, 70, 110, 130, 10]",10,16,10,15,
50,returnFound,"[150, 140, 120, 80, 40, 30, 20, 90, 100, 160, 60, 50, 70, 110, 130, 10]",10,16,10,15,15
