Step,StepId,Array,Key,n,key,low,pos,high,result
1,mainCall,"[5, 8, 10, 40, 45, 50, 90, 100, 110, 200, 220, 400]",40,12,40,,,,
2,setLow,"[5, 8, 10, 40, 45, 50, 90, 100, 110, 200, 220, 400]",40,12,40,0,,,
3,setHigh,"[5, 8, 10, 40, 45, 50, 90, 100, 110, 200, 220, 400]",40,12,40,0,,11,
4,whileLoop,"[5, 8, 10, 40, 45, 50, 90, 100, 110, 200, 220, 400]",40,12,40,0,,11,
5,setPos,"[5, 8, 10, 40, 45, 50, 90, 100, 110, 200, 220, 400]",40,12,40,0,0,11,
6,checkEqual,"[5, 8, 10, 40, 45, 50, 90, 100, 110, 200, 220, 400]",40,12,40,0,0,11,
7,checkLess,"[5, 8, 10, 40, 45, 50, 90, 100, 110, 200, 220, 400]",40,12,40,0,0,11,
8,updateLow,"[5, 8, 10, 40, 45, 50, 90, 100, 110, 200, 220, 400]",40,12,40,1,0,11,
9,whileLoop,"[5, 8, 10, 40, 45, 50, 90, 100, 110, 200, 220, 400]",40,12,40,1,0,11,
10,setPos,"[5, 8, 10, 40, 45, 50, 90, 100, 110, 200, 220, 400]",40,12,40,1,1,11,
11,checkEqual,"[5, 8, 10, 40, 45, 50, 90, 100, 110, 200, 220, 400]",40,12,40,1,1,11,
12,checkLess,"[5, 8, 10, 40, 45, 50, 90, 100, 110, 200, 220, 400]",40,12,40,1,1,11,
13,updateLow,"[5, 8, 10, 40, 45, 50, 90, 100, 110, 200, 220, 400]",40,12,40,2,1,11,
14,whileLoop,"[5, 8, 10, 40, 45, 50, 90, 100, 110, 200, 220, 400]",40,12,40,2,1,11,
15,setPos,"[5, 8, 10, 40, 45, 50, 90, 100, 110, 200, 220, 400]",40,12,40,2,2,11,
16,checkEqual,"[5, 8, 10, 40, 45, 50, 90, 100, 110, 200, 220, 400]",40,12,40,2,2,11,
17,checkLess,"[5, 8, 10, 40, 45, 50, 90, 100, 110, 200, 220, 400]",40,12,40,2,2,11,
18,updateLow,"[5, 8, 10, 40, 45, 50, 90, 100, 110, 200, 220, 400]",40,12,40,3,2,11,
19,whileLoop,"[5, 8, 10, 40, 45, 50, 90, 100, 110, 200, 220, 400]",40,12,40,3,2,11,
20,setPos,"[5, 8, 10, 40, 45, 50, 90, 100, 110, 200, 220, 400]",40,12,40,3,3,11,
21,checkEqual,"[5, 8, 10, 40, 45, 50, 90, 100, 110, 200, 220, 400]",40,12,40,3,3,11,
22,returnFound,"[5, 8, 10, 40, 45, 50, 90, 100, 110, 200, 220, 400]",40,12,40,3,3,11,3
