Step,StepId,Array,Key,n,key,i,result
1,mainCall,"[20, 40, 30, 60, 80, 70, 50, 10]",50,8,50,,
2,setI,"[20, 40, 30, 60, 80, 70, 50, 10]",50,8,50,0,
3,whileLoop,"[20, 40, 30, 60, 80, 70, 50, 10]",50,8,50,0,
4,checkEqual,"[20, 40, 30, 60, 80, 70, 50, 10]",50,8,50,0,
5,incI,"[20, 40, 30, 60, 80, 70, 50, 10]",50,8,50,1,
6,whileLoop,"[20, 40, 30, 60, 80, 70, 50, 10]",50,8,50,1,
7,checkEqual,"[20, 40, 30, 60, 80, 70, 50, 10]",50,8,50,1,
8,incI,"[20, 40, 30, 60, 80, 70, 50, 10]",50,8,50,2,
9,whileLoop,"[20, 40, 30, 60, 80, 70, 50, 10]",50,8,50,2,
10,checkEqual,"[20, 40, 30, 60, 80, 70, 50, 10]",50,8,50,2,
11,incI,"[20, 40, 30, 60, 80, 70, 50, 10]",50,8,50,3,
12,whileLoop,"[20, 40, 30, 60, 80, 70, 50, 10]",50,8,50,3,
13,checkEqual,"[20, 40, 30, 60, 80, 70, 50, 10]",50,8,50,3,
14,incI,"[20, 40, 30, 60, 80, 70, 50, 10]",50,8,50,4,
15,whileLoop,"[20, 40, 30, 60, 80, 70, 50, 10]",50,8,50,4,
16,checkEqual,"[20, 40, 30, 60, 80, 70, 50, 10]",50,8,50,4,
17,incI,"[20, 40, 30, 60, 80, 70, 50, 10]",50,8,50,5,
18,whileLoop,"[20, 40, 30, 60, 80, 70, 50, 10]",50,8,50,5,
19,checkEqual,"[20, 40, 30, 60, 80, 70, 50, 10]",50,8,50,5,
20,incI,"[20, 40, 30, 60, 80, 70, 50, 10]",50,8,50,6,
21,whileLoop,"[20, 40, 30, 60, 80, 70, 50, 10]",50,8,50,6,
22,checkEqual,"[20, 40, 30, 60, 80, 70, 50, 10]",50,8,50,6,
23,returnFound,"[20, 40, 30, 60, 80, 70, 50, 10]",50,8,50,6,6
