Step,StepId,Array,Key,n,key,step_length,step,step_or_n,prev,result
1,mainCall,"[5, 8, 10, 40, 45, 50, 90, 100, 110, 200, 220, 400]",400,12,400,,,,,
2,setStepLength,"[5, 8, 10, 40, 45, 50, 90, 100, 110, 200, 220, 400]",400,12,400,3,,,,
3,setStep,"[5, 8, 10, 40, 45, 50, 90, 100, 110, 200, 220, 400]",400,12,400,3,3,,,
4,setPrev,"[5, 8, 10, 40, 45, 50, 90, 100, 110, 200, 220, 400]",400,12,400,3,3,,0,
5,setStepOrN,"[5, 8, 10, 40, 45, 50, 90, 100, 110, 200, 220, 400]",400,12,400,3,3,3,0,
6,whileJump,"[5, 8, 10, 40, 45, 50, 90, 100, 110, 200, 220, 400]",400,12,400,3,3,3,0,
7,updatePrev,"[5, 8, 10, 40, 45, 50, 90, 100, 110, 200, 220, 400]",400,12,400,3,3,3,3,
8,updateStep,"[5, 8, 10, 40, 45, 50, 90, 100, 110, 200, 220, 400]",400,12,400,3,6,3,3,
9,checkPrevGeN,"[5, 8, 10, 40, 45, 50, 90, 100, 110, 200, 220, 400]",400,12,400,3,6,3,3,
10,updateStepOrN,"[5, 8, 10, 40, 45, 50, 90, 100, 110, 200, 220, 400]",400,12,400,3,6,6,3,
11,whileJump,"[5, 8, 10, 40, 45, 50, 90, 100, 110, 200, 220, 400]",400,12,400,3,6,6,3,
12,updatePrev,"[5, 8, 10, 40, 45, 50, 90, 100, 110, 200, 220, 400]",400,12,400,3,6,6,6,
13,updateStep,"[5, 8, 10, 40, 45, 50, 90, 100, 110, 200, 220, 400]",400,12,400,3,9,6,6,
14,checkPrevGeN,"[5, 8, 10, 40, 45, 50, 90, 100, 110, 200, 220, 400]",400,12,400,3,9,6,6,
15,updateStepOrN,"[5, 8, 10, 40, 45, 50, 90, 100, 110, 200, 220, 400]",400,12,400,3,9,9,6,
16,whileJump,"[5, 8, 10, 40, 45, 50, 90, 100, 110, 200, 220, 400]",400,12,400,3,9,9,6,
17,updatePrev,"[5, 8, 10, 40, 45, 50, 90, 100, 110, 200, 220, 400]",400,12,400,3,9,9,9,
18,updateStep,"[5, 8, 10, 40, 45, 50, 90, 100, 110, 200, 220, 400]",400,12,400,3,12,9,9,
19,checkPrevGeN,"[5, 8, 10, 40, 45, 50, 90, 100, 110, 200, 220, 400]",400,12,400,3,12,9,9,
20,updateStepOrN,"[5, 8, 10, 40, 45, 50, 90, 100, 110, 200, 220, 400]",400,12,400,3,12,12,9,
21,whileJump,"[5, 8, 10, 40, 45, 50, 90, 100, 110, 200, 220, 400]",400,12,400,3,12,12,9,
22,whileLinear,"[5, 8, 10, 40, 45, 50, 90, 100, 110, 200, 220, 400]",400,12,400,3,12,12,9,
23,incPrev,"[5, 8, 10, 40, 45, 50, 90, 100, 110, 200, 220, 400]",400,12,400,3,12,12,10,
24,checkBound,"[5, 8, 10, 40, 45, 50, 90, 100, 110, 200, 220, 400]",400,12,400,3,12,12,10,
25,whileLinear,"[5, 8, 10, 40, 45, 50, 90, 100, 110, 200, 220, 400]",400,12,400,3,12,12,10,
26,incPrev,"[5, 8, 10, 40, 45, 50, 90, 100, 110, 200, 220, 400]",400,12,400,3,12,12,11,
27,checkBound,"[5, 8, 10, 40, 45, 50, 90, 100, 110, 200, 220, 400]",400,12,400,3,12,12,11,
28,whileLinear,"[5, 8, 10, 40, 45, 50, 90, 100, 110, 200, 220, 400]",400,12,400,3,12,12,11,
29,checkEqual,"[5, 8, 10, 40, 45, 50, 90, 100, 110, 200, 220, 400]",400,12,400,3,12,12,11,
30,returnFound,"[5, 8, 10, 40, 45, 50, 90, 100, 110, 200, 220, 400]",400,12,400,3,12,12,11,11
