Step,StepId,Array,Key,n,key,i,result
1,mainCall,"[20, 40, 30, 60, 80, 70, 50, 10]",80,8,80,,
2,setI,"[20, 40, 30, 60, 80, 70, 50, 10]",80,8,80,0,
3,whileLoop,"[20, 40, 30, 60, 80, 70, 50, 10]",80,8,80,0,
4,checkEqual,"[20, 40, 30, 60, 80, 70, 50, 10]",80,8,80,0,
5,incI,"[20, 40, 30, 60, 80, 70, 50, 10]",80,8,80,1,
6,whileLoop,"[20, 40, 30, 60, 80, 70, 50, 10]",80,8,80,1,
7,checkEqual,"[20, 40, 30, 60, 80, 70, 50, 10]",80,8,80,1,
8,incI,"[20, 40, 30, 60, 80, 70, 50, 10]",80,8,80,2,
9,whileLoop,"[20, 40, 30, 60, 80, 70, 50, 10]",80,8,80,2,
10,checkEqual,"[20, 40, 30, 60, 80, 70, 50, 10]",80,8,80,2,
11,incI,"[20, 40, 30, 60, 80, 70, 50, 10]",80,8,80,3,
12,whileLoop,"[20, 40, 30, 60, 80, 70, 50, 10]",80,8,80,3,
13,checkEqual,"[20, 40, 30, 60, 80, 70, 50, 10]",80,8,80,3,
14,incI,"[20, 40, 30, 60, 80, 70, 50, 10]",80,8,80,4,
15,whileLoop,"[20, 40, 30, 60, 80, 70, 50, 10]",80,8,80,4,
16,checkEqual,"[20, 40, 30, 60, 80, 70, 50, 10]",80,8,80,4,
17,returnFound,"[20, 40, 30, 60, 80, 70, 50, 10]",80,8,80,4,4
