Step,StepId,Array,Key,n,key,i,result
1,mainCall,"[150, 140, 120, 80, 40, 30, 20, 90, 100, 160, 60, 50, 70, 110, 130, 10]",161,16,161,,
2,setI,"[150, 140, 120, 80, 40, 30, 20, 90, 100, 160, 60, 50, 70, 110, 130, 10]",161,16,161,0,
3,whileLoop,"[150, 140, 120, 80, 40, 30, 20, 90, 100, 160, 60, 50, 70, 110, 130, 10]",161,16,161,0,
4,checkEqual,"[150, 140, 120, 80, 40, 30, 20, 90, 100, 160, 60, 50, 70, 110, 130, 10]",161,16,161,0,
5,incI,"[150, 140, 120, 80, 40, 30, 20, 90, 100, 160, 60, 50, 70, 110, 130, 10]",161,16,161,1,
6,whileLoop,"[150, 140, 120, 80, 40, 30, 20, 90, 100, 160, 60, 50, 70, 110, 130, 10]",161,16,161,1,
7,checkEqual,"[150, 140, 120, 80, 40, 30, 20, 90, 100, 160, 60, 50, 70, 110, 130, 10]",161,16,161,1,
8,incI,"[150, 140, 120, 80, 40, 30, 20, 90, 100, 160, 60, 50, 70, 110, 130, 10]",161,16,161,2,
9,whileLoop,"[150, 140, 120, 80, 40, 30, 20, 90, 100, 160, 60, 50, 70, 110, 130, 10]",161,16,161,2,
10,checkEqual,"[150, 140, 120, 80, 40, 30, 20, 90, 100, 160, 60, 50, 70, 110, 130, 10]",161,16,161,2,
11,incI,"[150, 140, 120, 80, 40, 30, 20, 90, 100, 160, 60, 50, 70, 110, 130, 10]",161,16,161,3,
12,whileLoop,"[150, 140, 120, 80, 40, 30, 20, 90, 100, 160, 60, 50, 70, 110, 130, 10]",161,16,161,3,
13,checkEqual,"[150, 140, 120, 80, 40, 30, 20, 90, 100, 160, 60, 50, 70, 110, 130, 10]",161,16,161,3,
14,incI,"[150, 140, 120, 80, 40, 30, 20, 90, 100, 160, 60, 50, 70, 110, 130, 10]",161,16,161,4,
15,whileLoop,"[150, 140, 120, 80, 40, 30, 20, 90, 100, 160, 60, 50, 70, 110, 130, 10]",161,16,161,4,
16,checkEqual,"[150, 140, 120, 80, 40, 30, 20, 90, 100, 160, 60, 50, 70, 110, 130, 10]",161,16,161,4,
17,incI,"[150, 140, 120, 80, 40, 30, 20, 90, 100, 160, 60, 50, 70, 110, 130, 10]",161,16,161,5,
18,whileLoop,"[150, 140, 120, 80, 40, 30, 20, 90, 100, 160, 60, 50, 70, 110, 130, 10]",161,16,161,5,
19,checkEqual,"[150, 140, 120, 80, 40, 30, 20, 90, 100, 160, 60, 50, 70, 110, 130, 10]",161,16,161,5,
20,incI,"[150, 140, 120, 80, 40, 30, 20, 90, 100, 160, 60, 50, 70, 110, 130, 10]",161,16,161,6,
21,whileLoop,"[150, 140, 120, 80, 40, 30, 20, 90, 100, 160, 60, 50, 70, 110, 130, 10]",161,16,161,6,
22,checkEqual,"[150, 140, 120, 80, 40, 30, 20, 90, 100, 160, 60, 50, 70, 110, 130, 10]",161,16,161,6,
23,incI,"[150, 140, 120, 80, 40, 30, 20, 90, 100, 160, 60, 50, 70, 110, 130, 10]",161,16,161,7,
24,whileLoop,"[150, 140, 120, 80, 40, 30, 20, 90, 100, 160, 60, 50, 70, 110, 130, 10]",161,16,161,7,
