Step,StepId,Array,Key,n,key,low,mid,high,result
1,mainCall,"[10, 12, 15, 50, 55, 90, 200, 400]",200,8,200,,,,
2,setLow,"[10, 12, 15, 50, 55, 90, 200, 400]",200,8,200,0,,,
3,setHigh,"[10, 12, 15, 50, 55, 90, 200, 400]",200,8,200,0,,7,
4,whileLoop,"[10, 12, 15, 50, 55, 90, 200, 400]",200,8,200,0,,7,
5,setMid,"[10, 12, 15, 50, 55, 90, 200, 400]",200,8,200,0,3,7,
6,checkEqual,"[10, 12, 15, 50, 55, 90, 200, 400]",200,8,200,0,3,7,
7,checkLess,"[10, 12, 15, 50, 55, 90, 200, 400]",200,8,200,0,3,7,
8,updateLow,"[10, 12, 15, 50, 55, 90, 200, 400]",200,8,200,4,3,7,
9,whileLoop,"[10, 12, 15, 50, 55, 90, 200, 400]",200,8,200,4,3,7,
10,setMid,"[10, 12, 15, 50, 55, 90, 200, 400]",200,8,200,4,5,7,
11,checkEqual,"[10, 12, 15, 50, 55, 90, 200, 400]",200,8,200,4,5,7,
12,checkLess,"[10, 12, 15, 50, 55, 90, 200, 400]",200,8,200,4,5,7,
13,updateLow,"[10, 12, 15, 50, 55, 90, 200, 400]",200,8,200,6,5,7,
14,whileLoop,"[10, 12, 15, 50, 55, 90, 200, 400]",200,8,200,6,5,7,
15,setMid,"[10, 12, 15, 50, 55, 90, 200, 400]",200,8,200,6,6,7,
16,checkEqual,"[10, 12, 15, 50, 55, 90, 200, 400]",200,8,200,6,6,7,
17,returnFound,"[10, 12, 15, 50, 55, 90, 200, 400]",200,8,200,6,6,7,6
