Step,StepId,Array,Key,n,key,step_length,step,step_or_n,prev,result
1,mainCall,"[10, 12, 15, 50, 55, 90, 200, 400]",90,8,90,,,,,
2,setStepLength,"[10, 12, 15, 50, 55, 90, 200, 400]",90,8,90,2,,,,
3,setStep,"[10, 12, 15, 50, 55, 90, 200, 400]",90,8,90,2,2,,,
4,setPrev,"[10, 12, 15, 50, 55, 90, 200, 400]",90,8,90,2,2,,0,
5,setStepOrN,"[10, 12, 15, 50, 55, 90, 200, 400]",90,8,90,2,2,2,0,
6,whileJump,"[10, 12, 15, 50, 55, 90, 200, 400]",90,8,90,2,2,2,0,
7,updatePrev,"[10, 12, 15, 50, 55, 90, 200, 400]",90,8,90,2,2,2,2,
8,updateStep,"[10, 12, 15, 50, 55, 90, 200, 400]",90,8,90,2,4,2,2,
9,checkPrevGeN,"[10, 12, 15, 50, 55, 90, 200, 400]",90,8,90,2,4,2,2,
10,updateStepOrN,"[10, 12, 15, 50, 55, 90, 200, 400]",90,8,90,2,4,4,2,
11,whileJump,"[10, 12, 15, 50, 55, 90, 200, 400]",90,8,90,2,4,4,2,
12,updatePrev,"[10, 12, 15, 50, 55, 90, 200, 400]",90,8,90,2,4,4,4,
13,updateStep,"[10, 12, 15, 50, 55, 90, 200, 400]",90,8,90,2,6,4,4,
14,checkPrevGeN,"[10, 12, 15, 50, 55, 90, 200, 400]",90,8,90,2,6,4,4,
15,updateStepOrN,"[10, 12, 15, 50, 55, 90, 200, 400]",90,8,90,2,6,6,4,
16,whileJump,"[10, 12, 15, 50, 55, 90, 200, 400]",90,8,90,2,6,6,4,
17,whileLinear,"[10, 12, 15, 50, 55, 90, 200, 400]",90,8,90,2,6,6,4,
18,incPrev,"[10, 12, 15, 50, 55, 90, 200, 400]",90,8,90,2,6,6,5,
19,checkBound,"[10, 12, 15, 50, 55, 90, 200, 400]",90,8,90,2,6,6,5,
20,whileLinear,"[10, 12, 15, 50, 55, 90, 200, 400]",90,8,90,2,6,6,5,
21,checkEqual,"[10, 12, 15, 50, 55, 90, 200, 400]",90,8,90,2,6,6,5,
22,returnFound,"[10, 12, 15, 50, 55, 90, 200, 400]",90,8,90,2,6,6,5,5
