Step,StepId,Array,Key,n,key,step_length,step,step_or_n,prev,result
1,mainCall,"[10, 12, 15, 50, 55, 90, 200, 400]",400,8,400,,,,,
2,setStepLength,"[10, 12, 15, 50, 55, 90, 200, 400]",400,8,400,2,,,,
3,setStep,"[10, 12, 15, 50, 55, 90, 200, 400]",400,8,400,2,2,,,
4,setPrev,"[10, 12, 15, 50, 55, 90, 200, 400]",400,8,400,2,2,,0,
5,setStepOrN,"[10, 12, 15, 50, 55, 90, 200, 400]",400,8,400,2,2,2,0,
6,whileJump,"[10, 12, 15, 50, 55, 90, 200, 400]",400,8,400,2,2,2,0,
7,updatePrev,"[10, 12, 15, 50, 55, 90, 200, 400]",400,8,400,2,2,2,2,
8,updateStep,"[10, 12, 15, 50, 55, 90, 200, 400]",400,8,400,2,4,2,2,
9,checkPrevGeN,"[10, 12, 15, 50, 55, 90, 200, 400]",400,8,400,2,4,2,2,
10,updateStepOrN,"[10, 12, 15, 50, 55, 90, 200, 400]",400,8,400,2,4,4,2,
11,whileJump,"[10, 12, 15, 50, 55, 90, 200, 400]",400,8,400,2,4,4,2,
12,updatePrev,"[10, 12, 15, 50, 55, 90, 200, 400]",400,8,400,2,4,4,4,
13,updateStep,"[10, 12, 15, 50, 55, 90, 200, 400]",400,8,400,2,6,4,4,
14,checkPrevGeN,"[10, 12, 15, 50, 55, 90, 200, 400]",400,8,400,2,6,4,4,
15,updateStepOrN,"[10, 12, 15, 50, 55, 90, 200, 400]",400,8,400,2,6,6,4,
16,whileJump,"[10, 12, 15, 50, 55, 90, 200, 400]",400,8,400,2,6,6,4,
17,updatePrev,"[10, 12, 15, 50, 55, 90, 200, 400]",400,8,400,2,6,6,6,
18,updateStep,"[10, 12, 15, 50, 55, 90, 200, 400]",400,8,400,2,8,6,6,
19,checkPrevGeN,"[10, 12, 15, 50, 55, 90, 200, 400]",400,8,400,2,8,6,6,
20,updateStepOrN,"[10, 12, 15, 50, 55, 90, 200, 400]",400,8,400,2,8,8,6,
21,whileJump,"[10, 12, 15, 50, 55, 90, 200, 400]",400,8,400,2,8,8,6,
22,whileLinear,"[10, 12, 15, 50, 55, 90, 200, 400]",400,8,400,2,8,8,6,
23,incPrev,"[10, 12, 15, 50, 55, 90, 200, 400]",400,8,400,2,8,8,7,
24,checkBound,"[10, 12, 15, 50, 55, 90, 200, 400]",400,8,400,2,8,8,7,
25,whileLinear,"[10, 12, 15, 50, 55, 90, 200, 400]",400,8,400,2,8,8,7,
26,checkEqual,"[10, 12, 15, 50, 55, 90, 200, 400]",400,8,400,2,8,8,7,
27,returnFound,"[10, 12, 15, 50, 55, 90, 200, 400]",400,8,400,2,8,8,7,7
