Step,StepId,Array,Key,n,key,step_length,step,step_or_n,prev,result
1,mainCall,"[5, 8, 10, 40, 45, 50, 90, 100, 110, 200, 220, 400]",110,12,110,,,,,
2,setStepLength,"[5, 8, 10, 40, 45, 50, 90, 100, 110, 200, 220, 400]",110,12,110,3,,,,
3,setStep,"[5, 8, 10, 40, 45, 50, 90, 100, 110, 200, 220, 400]",110,12,110,3,3,,,
4,setPrev,"[5, 8, 10, 40, 45, 50, 90, 100, 110, 200, 220, 400]",110,12,110,3,3,,0,
5,setStepOrN,"[5, 8, 10, 40, 45, 50, 90, 100, 110, 200, 220, 400]",110,12,110,3,3,3,0,
6,whileJump,"[5, 8, 10, 40, 45, 50, 90, 100, 110, 200, 220, 400]",110,12,110,3,3,3,0,
7,updatePrev,"[5, 8, 10, 40, 45, 50, 90, 100, 110, 200, 220, 400]",110,12,110,3,3,3,3,
8,updateStep,"[5, 8, 10, 40, 45, 50, 90, 100, 110, 200, 220, 400]",110,12,110,3,6,3,3,
9,checkPrevGeN,"[5, 8, 10, 40, 45, 50, 90, 100, 110, 200, 220, 400]",110,12,110,3,6,3,3,
10,updateStepOrN,"[5, 8, 10, 40, 45, 50, 90, 100, 110, 200, 220, 400]",110,12,110,3,6,6,3,
11,whileJump,"[5, 8, 10, 40, 45, 50, 90, 100, 110, 200, 220, 400]",110,12,110,3,6,6,3,
12,updatePrev,"[5, 8, 10, 40, 45, 50, 90, 100, 110, 200, 220, 400]",110,12,110,3,6,6,6,
13,updateStep,"[5, 8, 10, 40, 45, 50, 90, 100, 110, 200, 220, 400]",110,12,110,3,9,6,6,
14,checkPrevGeN,"[5, 8, 10, 40, 45, 50, 90, 100, 110, 200, 220, 400]",110,12,110,3,9,6,6,
15,updateStepOrN,"[5, 8, 10, 40, 45, 50, 90, 100, 110, 200, 220, 400]",110,12,110,3,9,9,6,
16,whileJump,"[5, 8, 10, 40, 45, 50, 90, 100, 110, 200, 220, 400]",110,12,110,3,9,9,6,
17,whileLinear,"[5, 8, 10, 40, 45, 50, 90, 100, 110, 200, 220, 400]",110,12,110,3,9,9,6,
18,incPrev,"[5, 8, 10, 40, 45, 50, 90, 100, 110, 200, 220, 400]",110,12,110,3,9,9,7,
19,checkBound,"[5, 8, 10, 40, 45, 50, 90, 100, 110, 200, 220, 400]",110,12,110,3,9,9,7,
20,whileLinear,"[5, 8, 10, 40, 45, 50, 90, 100, 110, 200, 220, 400]",110,12,110,3,9,9,7,
21,incPrev,"[5, 8, 10, 40, 45, 50, 90, 100, 110, 200, 220, 400]",110,12,110,3,9,9,8,
22,checkBound,"[5, 8, 10, 40, 45, 50, 90, 100, 110, 200, 220, 400]",110,12,110,3,9,9,8,
23,whileLinear,"[5, 8, 10, 40, 45, 50, 90, 100, 110, 200, 220, 400]",110,12,110,3,9,9,8,
24,checkEqual,"[5, 8, 10, 40, 45, 50, 90, 100, 110, 200, 220, 400]",110,12,110,3,9,9,8,
25,returnFound,"[5, 8, 10, 40, 45, 50, 90, 100, 110, 200, 220, 400]",110,12,110,3,9,9,8,8
